a,b,q_scaled,result,winning_move,visits,memo
518119,1012607,-64,0,-2,5583,1229672
1012607,518119,32,0,-2,44158,1244472
518119,1012607,-32,1,-1,2760296,1966339
1012607,518119,16,0,-2,41667,1978019
518119,1012607,-16,1,-1,1685214,2377751
1012607,518119,0,0,-2,4777,2379399
518119,1012607,0,1,0,1,2379399
1012607,518119,-16,0,-2,71984,2400788
518119,1012607,16,1,0,602866,2546919
1012607,518119,-32,0,-2,12954,2551096
518119,1012607,32,1,0,1,2551096
970495,518119,64,0,-2,7825,2553720
518119,970495,-64,0,-2,4589,2555382
970495,518119,32,0,-2,31139,2565331
518119,970495,-32,1,-1,1628322,2985756
970495,518119,16,0,-2,52056,3000457
518119,970495,-16,2,-3,3000001,855639
970495,518119,0,0,-2,6763,858173
518119,970495,0,1,0,135,858209
970495,518119,-16,0,-2,122542,896038
518119,970495,16,1,0,977042,1132902
970495,518119,-32,0,-2,14689,1137913
518119,970495,32,1,0,1,1137913
888319,509927,64,1,0,1656,1138667
509927,888319,-64,0,-2,16830,1145263
888319,509927,32,1,0,9205,1149136
509927,888319,-32,0,-2,32387,1160712
888319,509927,16,1,0,19789,1168594
509927,888319,-16,0,-2,39798,1181829
888319,509927,0,1,0,5119,1183942
509927,888319,0,1,8,21392,1192453
888319,509927,-16,0,-2,66245,1216726
509927,888319,16,1,8,125953,1258473
888319,509927,-32,0,-2,8067,1261393
509927,888319,32,1,0,1,1261393
728063,501735,64,0,-2,11391,1265332
501735,728063,-64,0,-2,5463,1267373
728063,501735,32,0,-2,36750,1279453
501735,728063,-32,1,-1,2587065,1945140
728063,501735,16,0,-2,48801,1958552
501735,728063,-16,1,-1,1533495,2307201
728063,501735,0,0,-2,3489,2308395
501735,728063,0,1,0,1,2308395
728063,501735,-16,0,-2,60485,2326064
501735,728063,16,1,0,540223,2449332
728063,501735,-32,0,-2,9526,2452300
501735,728063,32,1,0,1,2452300
473087,485351,64,1,0,1397,2452932
485351,473087,-64,0,-2,23251,2460422
473087,485351,32,1,0,5867,2462766
485351,473087,-32,0,-2,34804,2473796
473087,485351,16,1,0,9883,2477638
485351,473087,-16,0,-2,35391,2488685
473087,485351,0,1,0,3150,2489983
485351,473087,0,1,10,32541,2500748
473087,485351,-16,0,-2,109721,2539784
485351,473087,16,1,8,146529,2585637
473087,485351,-32,0,-2,8918,2588793
485351,473087,32,1,8,1,2588793
847871,452583,64,1,0,1471,2589467
452583,847871,-64,0,-2,3349,2590823
847871,452583,32,1,0,5982,2593118
452583,847871,-32,0,-2,79712,2616175
847871,452583,16,1,0,10390,2619837
452583,847871,-16,0,-2,91387,2643974
847871,452583,0,1,0,3737,2645509
452583,847871,0,1,8,14034,2650314
847871,452583,-16,0,-2,57924,2670931
452583,847871,16,1,8,311651,2754461
847871,452583,-32,0,-2,6519,2756542
452583,847871,32,1,8,1,2756542
581631,387047,64,0,-2,6512,2758678
387047,581631,-64,0,-2,5233,2760652
581631,387047,32,0,-2,25914,2768721
387047,581631,-32,1,-1,1413512,3122721
581631,387047,16,0,-2,163652,55166
387047,581631,-16,2,-3,3000001,894379
581631,387047,0,0,-2,4361,895941
387047,581631,0,1,0,1,895941
581631,387047,-16,0,-2,103319,926889
387047,581631,16,1,0,926178,1149333
581631,387047,-32,0,-2,14902,1154213
387047,581631,32,1,0,1,1154213
114687,255975,64,1,0,1815,1155056
255975,114687,-64,0,-2,25600,1164642
114687,255975,32,1,0,12789,1170046
255975,114687,-32,0,-2,51517,1187317
114687,255975,16,1,0,24154,1196882
255975,114687,-16,0,-2,97201,1227447
114687,255975,0,1,0,4635,1229385
255975,114687,0,1,15,40010,1244049
114687,255975,-16,0,-2,117628,1286314
255975,114687,16,1,8,228069,1357781
114687,255975,-32,0,-2,9696,1361220
255975,114687,32,1,8,1,1361220
229375,518119,64,0,-2,24953,1370453
518119,229375,-64,0,-2,6526,1372983
229375,518119,32,0,-2,47691,1389106
518119,229375,-32,1,-1,2486759,2038706
229375,518119,16,0,-2,41368,2050396
518119,229375,-16,1,-1,1689173,2455821
229375,518119,0,0,-2,5396,2457675
518119,229375,0,1,0,1,2457675
229375,518119,-16,0,-2,43339,2471449
518119,229375,16,1,0,602040,2614957
229375,518119,-32,0,-2,15377,2619924
518119,229375,32,1,0,1,2619924
