p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
953534383936	2181904728960	0	141	false	2	19	1	[1, 4, 8, 13, 16, 20, 24, 30, 256, 260, 265, 273, 278, 281, 286, 514, 516, 520, 525]	[2]	1	2
953534383936	2181971840896	1	142	false	2	21	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 262, 265, 270, 278, 280, 284, 290, 530, 532, 536, 540, 546]	[1]	-1	2
4252102820160	2181971839872	1	121	false	2	21	1	[1, 4, 8, 12, 18, 20, 24, 28, 33, 256, 262, 264, 270, 278, 281, 286, 289, 514, 522, 524, 530]	[1]	-1	2
4252136376128	2181971840896	0	264	false	2	22	1	[1, 4, 8, 12, 17, 256, 260, 264, 269, 277, 282, 285, 290, 514, 516, 520, 524, 529, 532, 536, 540, 546]	[2]	1	2
4243512623360	2164772571136	0	1	true	2	14	1	[1, 4, 10, 261, 264, 518, 520, 773, 776, 1033, 1288, 1542, 1544, 1802]	[2]	1	1
4252136375616	2181956110560	0	106	false	2	22	1	[1, 4, 10, 258, 260, 264, 518, 520, 773, 776, 1025, 1033, 1280, 1285, 1288, 1537, 1540, 1544, 1797, 1800, 2054, 2058]	[2]	1	2
833274250240	2130364596736	1	1	true	2	11	2	[1, 4, 10, 258, 260, 264, 518, 520, 778, 1030, 1034]	[1, 5]	-1	4
953534382848	2181937234176	0	175	false	2	16	1	[1, 4, 8, 13, 16, 20, 24, 30, 258, 260, 265, 276, 281, 286, 518, 520]	[1]	-1	1
343598432256	1065151889408	1	1	true	2	5	1	[2, 4, 10, 12, 18]	[1]	-1	4
128850330368	257701708192	1	1	true	2	10	3	[1, 4, 8, 12, 18, 257, 262, 264, 270, 522]	[1, 4, 10]	0	4
4140383076416	1563371765984	1	1	true	2	8	6	[0, 6, 258, 260, 266, 518, 520, 526]	[1, 4, 9, 12, 18, 261]	-1	4
67109696	85970125280	1	1	true	2	10	1	[1, 4, 10, 12, 18, 270, 274, 278, 526, 534]	[0]	*	4
3083871715648	292151626720	0	0	true	2	15	3	[1, 4, 9, 12, 17, 256, 261, 272, 277, 282, 514, 516, 530, 532, 538]	[1, 4, 10]	0	1
670032724224	1202641175296	0	1	true	2	6	4	[0, 5, 260, 265, 518, 521]	[0, 4, 10, 262]	3/2	4
936304182016	2130332090912	1	5	true	2	13	2	[1, 4, 10, 12, 16, 22, 256, 262, 270, 274, 514, 525, 528]	[1, 5]	-1	1
953534383936	2181905777184	0	249	false	2	19	1	[1, 4, 8, 13, 16, 20, 24, 30, 256, 260, 265, 273, 276, 281, 286, 514, 516, 522, 533]	[2]	1	1
953534383936	2181972889120	1	250	false	2	21	1	[1, 4, 8, 12, 18, 20, 24, 30, 257, 262, 264, 270, 278, 280, 284, 290, 522, 533, 536, 540, 546]	[1]	-1	1
4252136376128	2181972889120	0	274	false	2	22	1	[1, 4, 8, 14, 25, 256, 260, 264, 269, 277, 280, 285, 290, 514, 516, 520, 524, 529, 532, 536, 540, 546]	[2]	1	1
927764842336	2181905515456	1	122	false	2	19	1	[1, 4, 8, 14, 16, 21, 256, 260, 266, 274, 276, 281, 514, 516, 520, 526, 528, 532, 538]	[2]	1	2
1477470323968	2130348868480	1	1	true	2	14	1	[0, 6, 8, 14, 16, 21, 258, 266, 274, 276, 281, 518, 520, 526]	[1]	-1	2
2027242915680	2181905515456	1	103	false	2	19	1	[0, 4, 8, 14, 16, 20, 26, 258, 260, 266, 274, 276, 281, 513, 516, 520, 526, 528, 533]	[2]	1	2
4123286046560	2147545514944	1	24	true	2	18	1	[1, 4, 8, 12, 18, 22, 257, 260, 264, 270, 278, 282, 517, 520, 524, 530, 532, 537]	[2]	1	2
3092493894656	481063600768	0	1	true	2	12	1	[0, 5, 8, 14, 22, 257, 265, 268, 274, 278, 525, 530]	[1]	-1	3
4226366834528	2181905515456	0	458	false	2	21	1	[1, 4, 8, 13, 16, 20, 24, 30, 258, 260, 265, 273, 276, 280, 286, 518, 520, 525, 528, 532, 538]	[1]	-1	2
4226366834528	2181972627392	1	459	false	2	22	1	[1, 4, 8, 12, 18, 20, 24, 30, 256, 260, 264, 270, 278, 280, 285, 514, 516, 520, 524, 530, 532, 537]	[2]	1	2
824668323936	412345172416	1	2	true	2	11	1	[1, 4, 10, 14, 256, 262, 270, 274, 522, 524, 529]	[1]	-1	2
893369975104	1030802636992	0	1	true	2	9	1	[0, 4, 9, 12, 258, 261, 269, 521, 524]	[2]	1	4
824685102848	446704911232	1	1	true	2	10	3	[1, 4, 8, 14, 257, 260, 266, 517, 520, 526]	[0, 6, 258]	1	4
50857824	1855487738816	1	5	true	2	15	1	[1, 4, 8, 14, 16, 21, 256, 260, 266, 274, 278, 514, 518, 526, 530]	[1]	-1	2
