h,w,a,b,result,visits,memo
2,5,1023,0,1,1,0
2,5,1023,1,1,2,1
2,5,1023,2,1,3,3
2,5,1023,3,1,2,4
2,5,1023,4,1,3,6
2,5,1023,5,1,2,7
2,5,1023,6,1,4,9
2,5,1023,7,1,2,10
2,5,1023,8,1,3,12
2,5,1023,9,1,2,13
2,5,1023,10,1,8,19
2,5,1023,11,1,2,20
2,5,1023,12,1,4,22
2,5,1023,13,1,2,23
2,5,1023,14,1,5,25
2,5,1023,15,1,2,26
2,5,1023,16,1,3,28
2,5,1023,17,1,2,29
2,5,1023,18,1,8,35
2,5,1023,19,1,2,36
2,5,1023,20,1,7,41
2,5,1023,21,1,2,42
2,5,1023,22,1,6,45
2,5,1023,23,1,2,46
2,5,1023,24,1,4,48
2,5,1023,25,1,2,49
2,5,1023,26,1,8,53
2,5,1023,27,1,2,54
2,5,1023,28,1,5,56
2,5,1023,29,1,2,57
2,5,1023,30,1,6,59
2,5,1023,31,1,2,60
2,5,1023,32,1,3,62
2,5,1023,33,1,2,63
2,5,1023,34,1,7,68
2,5,1023,35,1,2,69
2,5,1023,36,1,7,74
2,5,1023,37,1,2,75
2,5,1023,38,1,6,78
2,5,1023,39,1,2,79
2,5,1023,40,1,5,82
2,5,1023,41,1,2,83
2,5,1023,42,1,20,97
2,5,1023,43,1,2,98
2,5,1023,44,1,6,101
2,5,1023,45,1,2,102
2,5,1023,46,1,7,105
2,5,1023,47,1,2,106
2,5,1023,48,1,6,110
2,5,1023,49,1,2,111
2,5,1023,50,1,19,124
2,5,1023,51,1,2,125
2,5,1023,52,1,14,135
2,5,1023,53,1,2,136
2,5,1023,54,1,8,140
2,5,1023,55,1,2,141
2,5,1023,56,1,5,143
2,5,1023,57,1,2,144
2,5,1023,58,1,15,151
2,5,1023,59,1,2,152
2,5,1023,60,1,7,155
2,5,1023,61,1,2,156
2,5,1023,62,1,8,159
2,5,1023,63,1,2,160
2,5,1023,64,1,3,162
2,5,1023,65,1,2,163
2,5,1023,66,1,4,165
2,5,1023,67,1,2,166
2,5,1023,68,1,7,171
2,5,1023,69,1,2,172
2,5,1023,70,1,5,174
2,5,1023,71,1,2,175
2,5,1023,72,1,8,181
2,5,1023,73,1,2,182
2,5,1023,74,1,8,186
2,5,1023,75,1,2,187
2,5,1023,76,1,6,190
2,5,1023,77,1,2,191
2,5,1023,78,1,6,193
2,5,1023,79,1,2,194
2,5,1023,80,1,8,200
2,5,1023,81,1,2,201
2,5,1023,82,1,8,205
2,5,1023,83,1,2,206
2,5,1023,84,1,12,214
2,5,1023,85,1,2,215
2,5,1023,86,1,7,218
2,5,1023,87,1,2,219
2,5,1023,88,1,8,223
2,5,1023,89,1,2,224
2,5,1023,90,1,6,226
2,5,1023,91,1,2,227
2,5,1023,92,1,7,230
2,5,1023,93,1,2,231
2,5,1023,94,1,7,233
2,5,1023,95,1,2,234
2,5,1023,96,1,4,236
2,5,1023,97,1,2,237
2,5,1023,98,1,5,239
2,5,1023,99,1,2,240
2,5,1023,100,1,8,244
2,5,1023,101,1,2,245
2,5,1023,102,1,6,247
2,5,1023,103,1,2,248
2,5,1023,104,1,8,252
2,5,1023,105,1,2,253
2,5,1023,106,1,10,257
2,5,1023,107,1,2,258
2,5,1023,108,1,6,260
2,5,1023,109,1,2,261
2,5,1023,110,1,7,263
2,5,1023,111,1,2,264
2,5,1023,112,1,8,268
2,5,1023,113,1,2,269
2,5,1023,114,1,10,273
2,5,1023,115,1,2,274
2,5,1023,116,1,12,280
2,5,1023,117,1,2,281
2,5,1023,118,1,8,284
2,5,1023,119,1,2,285
2,5,1023,120,1,6,287
2,5,1023,121,1,2,288
2,5,1023,122,1,7,290
2,5,1023,123,1,2,291
2,5,1023,124,1,7,293
2,5,1023,125,1,2,294
2,5,1023,126,1,8,296
2,5,1023,127,1,2,297
2,5,1023,128,1,3,299
2,5,1023,129,1,2,300
2,5,1023,130,1,7,305
2,5,1023,131,1,2,306
2,5,1023,132,1,4,308
2,5,1023,133,1,2,309
2,5,1023,134,1,5,311
2,5,1023,135,1,2,312
2,5,1023,136,1,6,316
2,5,1023,137,1,2,317
2,5,1023,138,1,14,326
2,5,1023,139,1,2,327
2,5,1023,140,1,5,329
2,5,1023,141,1,2,330
2,5,1023,142,1,6,332
2,5,1023,143,1,2,333
2,5,1023,144,1,7,338
2,5,1023,145,1,2,339
2,5,1023,146,1,14,348
2,5,1023,147,1,2,349
2,5,1023,148,1,6,352
2,5,1023,149,1,2,353
2,5,1023,150,1,7,356
2,5,1023,151,1,2,357
2,5,1023,152,1,6,360
2,5,1023,153,1,2,361
2,5,1023,154,1,11,366
2,5,1023,155,1,2,367
2,5,1023,156,1,6,369
2,5,1023,157,1,2,370
2,5,1023,158,1,7,372
2,5,1023,159,1,2,373
2,5,1023,160,1,5,376
2,5,1023,161,1,2,377
2,5,1023,162,1,10,383
2,5,1023,163,1,2,384
2,5,1023,164,1,6,387
2,5,1023,165,1,2,388
2,5,1023,166,1,7,391
2,5,1023,167,1,2,392
2,5,1023,168,1,7,396
2,5,1023,169,1,2,397
2,5,1023,170,1,45,427
2,5,1023,171,1,2,428
2,5,1023,172,1,7,431
2,5,1023,173,1,2,432
2,5,1023,174,1,8,435
2,5,1023,175,1,2,436
2,5,1023,176,1,9,441
2,5,1023,177,1,2,442
2,5,1023,178,1,105,505
2,5,1023,179,1,2,506
2,5,1023,180,1,8,510
2,5,1023,181,1,2,511
2,5,1023,182,1,35,524
2,5,1023,183,1,2,525
2,5,1023,184,1,7,528
2,5,1023,185,1,2,529
2,5,1023,186,1,41,548
2,5,1023,187,1,2,549
2,5,1023,188,1,8,552
2,5,1023,189,1,2,553
2,5,1023,190,1,11,557
2,5,1023,191,1,2,558
2,5,1023,192,1,4,560
2,5,1023,193,1,2,561
2,5,1023,194,1,5,563
2,5,1023,195,1,2,564
2,5,1023,196,1,5,566
2,5,1023,197,1,2,567
2,5,1023,198,1,6,569
2,5,1023,199,1,2,570
2,5,1023,200,1,8,574
2,5,1023,201,1,2,575
2,5,1023,202,1,10,579
2,5,1023,203,1,2,580
2,5,1023,204,1,6,582
2,5,1023,205,1,2,583
2,5,1023,206,1,7,585
2,5,1023,207,1,2,586
2,5,1023,208,1,8,590
2,5,1023,209,1,2,591
2,5,1023,210,1,10,595
2,5,1023,211,1,2,596
2,5,1023,212,1,7,599
2,5,1023,213,1,2,600
2,5,1023,214,1,8,603
2,5,1023,215,1,2,604
2,5,1023,216,1,6,606
2,5,1023,217,1,2,607
2,5,1023,218,1,7,609
2,5,1023,219,1,2,610
2,5,1023,220,1,7,612
2,5,1023,221,1,2,613
2,5,1023,222,1,8,615
2,5,1023,223,1,2,616
2,5,1023,224,1,5,618
2,5,1023,225,1,2,619
2,5,1023,226,1,6,621
2,5,1023,227,1,2,622
2,5,1023,228,1,6,624
2,5,1023,229,1,2,625
2,5,1023,230,1,7,627
2,5,1023,231,1,2,628
2,5,1023,232,1,10,632
2,5,1023,233,1,2,633
2,5,1023,234,1,12,637
2,5,1023,235,1,2,638
2,5,1023,236,1,7,640
2,5,1023,237,1,2,641
2,5,1023,238,1,8,643
2,5,1023,239,1,2,644
2,5,1023,240,1,10,648
2,5,1023,241,1,2,649
2,5,1023,242,1,19,655
2,5,1023,243,1,2,656
2,5,1023,244,1,8,659
2,5,1023,245,1,2,660
2,5,1023,246,1,27,670
2,5,1023,247,1,2,671
2,5,1023,248,1,7,673
2,5,1023,249,1,2,674
2,5,1023,250,1,8,676
2,5,1023,251,1,2,677
2,5,1023,252,1,8,679
2,5,1023,253,1,2,680
2,5,1023,254,1,9,682
2,5,1023,255,1,2,683
2,5,1023,256,1,3,685
2,5,1023,257,1,2,686
2,5,1023,258,1,8,692
2,5,1023,259,1,2,693
2,5,1023,260,1,7,698
2,5,1023,261,1,2,699
2,5,1023,262,1,6,702
2,5,1023,263,1,2,703
2,5,1023,264,1,4,705
2,5,1023,265,1,2,706
2,5,1023,266,1,8,710
2,5,1023,267,1,2,711
2,5,1023,268,1,5,713
2,5,1023,269,1,2,714
2,5,1023,270,1,6,716
2,5,1023,271,1,2,717
2,5,1023,272,1,8,723
2,5,1023,273,1,2,724
2,5,1023,274,1,18,736
2,5,1023,275,1,2,737
2,5,1023,276,1,12,745
2,5,1023,277,1,2,746
2,5,1023,278,1,8,750
2,5,1023,279,1,2,751
2,5,1023,280,1,5,753
2,5,1023,281,1,2,754
2,5,1023,282,1,10,758
2,5,1023,283,1,2,759
2,5,1023,284,1,6,761
2,5,1023,285,1,2,762
2,5,1023,286,1,7,764
2,5,1023,287,1,2,765
2,5,1023,288,1,6,769
2,5,1023,289,1,2,770
2,5,1023,290,1,20,784
2,5,1023,291,1,2,785
2,5,1023,292,1,10,791
2,5,1023,293,1,2,792
