h,w,mode,left,right,a,b,result,visits,memo,seconds
3,7,middle-w,0,0,2097023,1023806,1,3419,1495,0.000302625
3,7,middle-w,0,1,2097023,1023870,1,3739,3107,0.000162489
3,7,middle-w,0,2,2097023,1031998,1,5674,5269,0.000271569
3,7,middle-w,0,3,2097023,1032062,1,1457,5713,4.0219e-05
3,7,middle-w,0,4,2097023,2072382,1,4741,7544,0.000161727
3,7,middle-w,0,5,2097023,2072446,1,12498,12612,0.000633853
3,7,middle-w,0,6,2097023,2080574,1,2607,13341,0.000120116
3,7,middle-w,0,7,2097023,2080638,1,4654,15011,0.000195057
3,7,middle-w,1,0,2097023,1023807,1,2,15012,2.61e-07
3,7,middle-w,1,1,2097023,1023871,1,2,15013,1.6e-07
3,7,middle-w,1,2,2097023,1031999,1,2,15014,1.3e-07
3,7,middle-w,1,3,2097023,1032063,1,2,15015,1.7e-07
3,7,middle-w,1,4,2097023,2072383,1,2,15016,1.2e-07
3,7,middle-w,1,5,2097023,2072447,1,2,15017,1.31e-07
3,7,middle-w,1,6,2097023,2080575,1,2,15018,1e-07
3,7,middle-w,1,7,2097023,2080639,1,2,15019,1.4e-07
3,7,middle-w,2,0,2097023,1023934,1,4396,16599,0.000161908
3,7,middle-w,2,1,2097023,1023998,1,5579,18692,0.000207836
3,7,middle-w,2,2,2097023,1032126,1,9748,21933,0.000616477
3,7,middle-w,2,3,2097023,1032190,1,1934,22484,6.2732e-05
3,7,middle-w,2,4,2097023,2072510,1,7061,24801,0.000230048
3,7,middle-w,2,5,2097023,2072574,1,488560,191359,0.0317087
3,7,middle-w,2,6,2097023,2080702,1,4328,192458,0.000200565
3,7,middle-w,2,7,2097023,2080766,1,33471,203322,0.00211304
3,7,middle-w,3,0,2097023,1023935,1,2,203323,3.5e-07
3,7,middle-w,3,1,2097023,1023999,1,2,203324,2.4e-07
3,7,middle-w,3,2,2097023,1032127,1,2,203325,1.2e-07
3,7,middle-w,3,3,2097023,1032191,1,2,203326,1e-07
3,7,middle-w,3,4,2097023,2072511,1,2,203327,1.2e-07
3,7,middle-w,3,5,2097023,2072575,1,2,203328,8e-08
3,7,middle-w,3,6,2097023,2080703,1,2,203329,2.91e-07
3,7,middle-w,3,7,2097023,2080767,1,2,203330,7.1e-08
3,7,middle-w,4,0,2097023,1040190,1,4622,205116,0.000336946
3,7,middle-w,4,1,2097023,1040254,1,12196,210200,0.00098558
3,7,middle-w,4,2,2097023,1048382,1,9031,213473,0.0006864
3,7,middle-w,4,3,2097023,1048446,1,9576,217285,0.00082224
3,7,middle-w,4,4,2097023,2088766,1,27925,227662,0.00248002
3,7,middle-w,4,5,2097023,2088830,1,134841,279140,0.0130809
3,7,middle-w,4,6,2097023,2096958,1,8502,281999,0.000917059
3,7,middle-w,4,7,2097023,2097022,1,59446,304153,0.0065817
3,7,middle-w,5,0,2097023,1040191,1,2,304154,1.052e-06
3,7,middle-w,5,1,2097023,1040255,1,2,304155,3.91e-07
3,7,middle-w,5,2,2097023,1048383,1,2,304156,1.672e-06
3,7,middle-w,5,3,2097023,1048447,1,2,304157,2.61e-07
3,7,middle-w,5,4,2097023,2088767,1,2,304158,6.01e-07
3,7,middle-w,5,5,2097023,2088831,1,2,304159,2.2e-07
3,7,middle-w,5,6,2097023,2096959,1,2,304160,5.01e-07
3,7,middle-w,5,7,2097023,2097023,1,2,304161,7.11e-07
3,7,middle-w,6,0,2097023,1040318,1,2584,304892,0.000280372
3,7,middle-w,6,1,2097023,1040382,1,4777,306477,0.000575927
3,7,middle-w,6,2,2097023,1048510,1,4551,307716,0.000465946
3,7,middle-w,6,3,2097023,1048574,1,2514,308442,0.000273963
3,7,middle-w,6,4,2097023,2088894,1,12391,312572,0.00141636
3,7,middle-w,6,5,2097023,2088958,1,276553,402001,0.0466926
3,7,middle-w,6,6,2097023,2097086,1,5102,403561,0.000574125
3,7,middle-w,6,7,2097023,2097150,1,39280,416910,0.00560938
3,7,middle-w,7,0,2097023,1040319,1,2,416911,8.71e-07
3,7,middle-w,7,1,2097023,1040383,1,2,416912,5.21e-07
3,7,middle-w,7,2,2097023,1048511,1,2,416913,3.2e-07
3,7,middle-w,7,3,2097023,1048575,1,2,416914,2.6e-07
3,7,middle-w,7,4,2097023,2088895,1,2,416915,3.81e-07
3,7,middle-w,7,5,2097023,2088959,1,157685,472575,0.0215467
3,7,middle-w,7,6,2097023,2097087,1,2,472576,5.81e-07
3,7,middle-w,7,7,2097023,2097151,0,38084,486211,0.00456487
