h,w,mode,left,right,a,b,result,visits,memo,seconds
5,3,empty,0,0,32767,9362,1,30,18,5.548e-06
5,3,empty,0,1,32767,9366,1,20,30,4.307e-06
5,3,empty,0,2,32767,9394,1,55,61,2.4657e-05
5,3,empty,0,3,32767,9398,1,12,66,4.81e-07
5,3,empty,0,4,32767,9618,1,50,94,1.943e-06
5,3,empty,0,5,32767,9622,1,23,106,1.122e-06
5,3,empty,0,6,32767,9650,1,33,118,2.253e-06
5,3,empty,0,7,32767,9654,1,12,122,4.81e-07
5,3,empty,0,8,32767,11410,1,59,156,3.395e-06
5,3,empty,0,9,32767,11414,1,33,176,4.307e-06
5,3,empty,0,10,32767,11442,1,100,225,4.336e-06
5,3,empty,0,11,32767,11446,1,13,230,5.71e-07
5,3,empty,0,12,32767,11666,1,33,242,1.261e-06
5,3,empty,0,13,32767,11670,1,22,250,2.003e-06
5,3,empty,0,14,32767,11698,1,29,258,3.846e-06
5,3,empty,0,15,32767,11702,1,12,261,5.91e-07
5,3,empty,0,16,32767,25746,1,46,287,1.843e-06
5,3,empty,0,17,32767,25750,1,25,300,1.232e-06
5,3,empty,0,18,32767,25778,1,74,337,5.999e-06
5,3,empty,0,19,32767,25782,1,13,342,7.21e-07
5,3,empty,0,20,32767,26002,1,79,384,4.537e-06
5,3,empty,0,21,32767,26006,1,26,396,1.012e-06
5,3,empty,0,22,32767,26034,1,46,412,1.162e-06
5,3,empty,0,23,32767,26038,1,13,416,4.51e-07
5,3,empty,0,24,32767,27794,1,29,426,1.012e-06
5,3,empty,0,25,32767,27798,1,22,434,9.02e-07
5,3,empty,0,26,32767,27826,1,41,447,1.342e-06
5,3,empty,0,27,32767,27830,1,12,450,4.51e-07
5,3,empty,0,28,32767,28050,1,23,456,2.043e-06
5,3,empty,0,29,32767,28054,1,19,461,7.51e-07
5,3,empty,0,30,32767,28082,1,19,465,5.31e-07
5,3,empty,0,31,32767,28086,1,12,467,2.41e-07
5,3,empty,1,0,32767,9363,1,2,468,1.91e-07
