h,w,mode,left,right,a,b,result,visits,memo,seconds
3,7,empty,0,0,2097151,1023806,1,3419,1495,0.000155979
3,7,empty,0,1,2097151,1023870,1,3739,3107,0.000158443
3,7,empty,0,2,2097151,1031998,1,5674,5269,0.000247875
3,7,empty,0,3,2097151,1032062,1,1457,5713,4.0359e-05
3,7,empty,0,4,2097151,2072382,1,4741,7544,0.000161027
3,7,empty,0,5,2097151,2072446,1,12498,12612,0.000713931
3,7,empty,0,6,2097151,2080574,1,2607,13341,9.524e-05
3,7,empty,0,7,2097151,2080638,1,4654,15011,0.000221607
3,7,empty,1,0,2097151,1023807,1,2,15012,2.6e-07
3,7,empty,1,1,2097151,1023871,1,2,15013,1.9e-07
3,7,empty,1,2,2097151,1031999,1,2,15014,1.2e-07
3,7,empty,1,3,2097151,1032063,1,2,15015,1.3e-07
3,7,empty,1,4,2097151,2072383,1,2,15016,1.3e-07
3,7,empty,1,5,2097151,2072447,1,2,15017,3.4e-07
3,7,empty,1,6,2097151,2080575,1,2,15018,1.1e-07
3,7,empty,1,7,2097151,2080639,1,2,15019,1.6e-07
3,7,empty,2,0,2097151,1023934,1,4396,16599,0.000174758
3,7,empty,2,1,2097151,1023998,1,5579,18692,0.00021766
3,7,empty,2,2,2097151,1032126,1,9748,21933,0.000692079
3,7,empty,2,3,2097151,1032190,1,1934,22484,0.000134087
3,7,empty,2,4,2097151,2072510,1,7061,24801,0.000254495
3,7,empty,2,5,2097151,2072574,1,488560,191359,0.0317965
3,7,empty,2,6,2097151,2080702,1,4328,192458,0.000181978
3,7,empty,2,7,2097151,2080766,1,33471,203322,0.00163656
3,7,empty,3,0,2097151,1023935,1,2,203323,3.01e-07
3,7,empty,3,1,2097151,1023999,1,2,203324,2.11e-07
3,7,empty,3,2,2097151,1032127,1,2,203325,2.1e-07
3,7,empty,3,3,2097151,1032191,1,2,203326,1.3e-07
3,7,empty,3,4,2097151,2072511,1,2,203327,3.9e-07
3,7,empty,3,5,2097151,2072575,1,2,203328,1.1e-07
3,7,empty,3,6,2097151,2080703,1,2,203329,1.7e-07
3,7,empty,3,7,2097151,2080767,1,2,203330,1e-07
3,7,empty,4,0,2097151,1040190,1,4622,205116,0.000225693
3,7,empty,4,1,2097151,1040254,1,12196,210200,0.000662344
3,7,empty,4,2,2097151,1048382,1,9031,213473,0.000469261
3,7,empty,4,3,2097151,1048446,1,9576,217285,0.000542388
3,7,empty,4,4,2097151,2088766,1,27925,227662,0.00153178
3,7,empty,4,5,2097151,2088830,1,134841,279140,0.00894382
3,7,empty,4,6,2097151,2096958,1,8502,281999,0.000660022
3,7,empty,4,7,2097151,2097022,1,59446,304153,0.00456023
3,7,empty,5,0,2097151,1040191,1,2,304154,7.01e-07
3,7,empty,5,1,2097151,1040255,1,2,304155,1.8e-07
3,7,empty,5,2,2097151,1048383,1,2,304156,1.483e-06
3,7,empty,5,3,2097151,1048447,1,2,304157,2.2e-07
3,7,empty,5,4,2097151,2088767,1,2,304158,2.2e-07
3,7,empty,5,5,2097151,2088831,1,2,304159,4.9e-07
3,7,empty,5,6,2097151,2096959,1,2,304160,2.3e-07
3,7,empty,5,7,2097151,2097023,1,2,304161,4.11e-07
3,7,empty,6,0,2097151,1040318,1,2584,304892,0.000192484
3,7,empty,6,1,2097151,1040382,1,4777,306477,0.000349244
3,7,empty,6,2,2097151,1048510,1,4551,307716,0.000303526
3,7,empty,6,3,2097151,1048574,1,2514,308442,0.000173395
3,7,empty,6,4,2097151,2088894,1,12391,312572,0.0010118
3,7,empty,6,5,2097151,2088958,1,319919,415886,0.0375077
3,7,empty,6,6,2097151,2097086,1,5087,417440,0.000410554
3,7,empty,6,7,2097151,2097150,1,49257,433724,0.00394831
3,7,empty,7,0,2097151,1040319,1,2,433725,3.31e-07
3,7,empty,7,1,2097151,1040383,1,2,433726,4.91e-07
3,7,empty,7,2,2097151,1048511,1,2,433727,3.1e-07
3,7,empty,7,3,2097151,1048575,1,2,433728,3.81e-07
3,7,empty,7,4,2097151,2088895,1,2,433729,2.71e-07
3,7,empty,7,5,2097151,2088959,1,490705,589131,0.0470776
3,7,empty,7,6,2097151,2097087,1,2,589132,8.81e-07
3,7,empty,7,7,2097151,2097151,0,45171,604898,0.0051175
