h,w,mode,left,right,a,b,result,visits,memo,seconds
3,2,middle-w,0,0,59,0,1,1,0,7e-08
3,2,middle-w,0,1,59,2,1,3,2,2.644e-06
3,2,middle-w,0,2,59,8,1,3,4,2e-07
3,2,middle-w,0,3,59,10,1,4,6,2.7e-07
3,2,middle-w,0,4,59,32,1,3,8,1.8e-07
3,2,middle-w,0,5,59,34,1,7,14,3.756e-06
3,2,middle-w,0,6,59,40,1,4,16,2.1e-07
3,2,middle-w,0,7,59,42,1,5,18,2.31e-07
3,2,middle-w,1,0,59,1,1,2,19,1.21e-07
3,2,middle-w,1,1,59,3,1,2,20,2.2e-07
3,2,middle-w,1,2,59,9,1,2,21,9e-08
3,2,middle-w,1,3,59,11,1,2,22,1.2e-07
3,2,middle-w,1,4,59,33,1,2,23,1.2e-07
3,2,middle-w,1,5,59,35,1,2,24,8e-08
3,2,middle-w,1,6,59,41,1,2,25,1.31e-07
3,2,middle-w,1,7,59,43,1,2,26,1.91e-07
3,2,middle-w,2,0,59,4,1,3,28,1.81e-07
3,2,middle-w,2,1,59,6,1,7,33,9.81e-07
3,2,middle-w,2,2,59,12,1,4,35,2.1e-07
3,2,middle-w,2,3,59,14,1,5,37,2.4e-07
3,2,middle-w,2,4,59,36,1,5,40,2.4e-07
3,2,middle-w,2,5,59,38,0,26,58,2.984e-06
3,2,middle-w,2,6,59,44,1,5,60,8.31e-07
3,2,middle-w,2,7,59,46,0,12,65,5.5e-07
3,2,middle-w,3,0,59,5,1,2,66,1.3e-07
3,2,middle-w,3,1,59,7,1,2,67,6e-08
3,2,middle-w,3,2,59,13,1,2,68,1.1e-07
3,2,middle-w,3,3,59,15,1,2,69,5e-08
3,2,middle-w,3,4,59,37,1,2,70,9e-08
3,2,middle-w,3,5,59,39,0,16,77,6.61e-07
3,2,middle-w,3,6,59,45,1,2,78,1.9e-07
3,2,middle-w,3,7,59,47,0,14,85,5.71e-07
3,2,middle-w,4,0,59,16,1,3,87,1.7e-07
3,2,middle-w,4,1,59,18,1,11,93,4.6e-07
3,2,middle-w,4,2,59,24,1,6,97,2.61e-07
3,2,middle-w,4,3,59,26,1,20,106,6.51e-07
3,2,middle-w,4,4,59,48,1,4,108,1.4e-07
3,2,middle-w,4,5,59,50,1,9,112,4.91e-07
3,2,middle-w,4,6,59,56,1,5,114,2.8e-07
3,2,middle-w,4,7,59,58,1,17,122,2.163e-06
3,2,middle-w,5,0,59,17,1,2,123,9e-08
3,2,middle-w,5,1,59,19,1,11,127,4.31e-07
3,2,middle-w,5,2,59,25,1,2,128,9.22e-07
3,2,middle-w,5,3,59,27,1,14,134,4.8e-07
3,2,middle-w,5,4,59,49,1,2,135,1.1e-07
3,2,middle-w,5,5,59,51,0,10,140,4.61e-07
3,2,middle-w,5,6,59,57,1,2,141,8.1e-08
3,2,middle-w,5,7,59,59,0,10,146,4.61e-07
3,2,middle-w,6,0,59,20,1,4,148,2.1e-07
3,2,middle-w,6,1,59,22,1,12,154,5.2e-07
3,2,middle-w,6,2,59,28,1,5,156,1.71e-07
3,2,middle-w,6,3,59,30,1,23,165,1.973e-06
3,2,middle-w,6,4,59,52,1,5,167,2.71e-07
3,2,middle-w,6,5,59,54,0,19,176,8.41e-07
3,2,middle-w,6,6,59,60,1,6,178,2.21e-07
3,2,middle-w,6,7,59,62,0,11,182,4.7e-07
3,2,middle-w,7,0,59,21,1,2,183,8e-08
3,2,middle-w,7,1,59,23,1,15,187,4.7e-07
3,2,middle-w,7,2,59,29,1,2,188,1.7e-07
3,2,middle-w,7,3,59,31,1,10,191,3.21e-07
3,2,middle-w,7,4,59,53,1,2,192,1.11e-07
3,2,middle-w,7,5,59,55,0,1,193,1.41e-07
3,2,middle-w,7,6,59,61,1,2,194,1.3e-07
3,2,middle-w,7,7,59,63,0,9,198,4.71e-07
