h,w,mode,left,right,a,b,result,visits,memo,seconds
3,3,empty,0,0,511,146,1,9,6,2.233e-06
3,3,empty,0,1,511,150,1,10,12,6.91e-07
3,3,empty,0,2,511,178,1,20,25,3.806e-06
3,3,empty,0,3,511,182,1,8,28,3.91e-07
3,3,empty,0,4,511,402,1,14,36,1.192e-06
3,3,empty,0,5,511,406,1,12,42,5.01e-07
3,3,empty,0,6,511,434,1,11,46,4.91e-07
3,3,empty,0,7,511,438,1,8,48,2.31e-07
3,3,empty,1,0,511,147,1,2,49,1.41e-07
3,3,empty,1,1,511,151,1,2,50,8e-08
3,3,empty,1,2,511,179,1,2,51,1e-07
3,3,empty,1,3,511,183,1,2,52,1.092e-06
3,3,empty,1,4,511,403,1,2,53,1.1e-07
3,3,empty,1,5,511,407,1,2,54,1.2e-07
3,3,empty,1,6,511,435,1,2,55,1e-07
3,3,empty,1,7,511,439,1,2,56,1.5e-07
3,3,empty,2,0,511,154,1,15,65,1.291e-06
3,3,empty,2,1,511,158,1,16,75,7.82e-07
3,3,empty,2,2,511,186,1,43,100,1.853e-06
3,3,empty,2,3,511,190,1,10,104,3.9e-07
3,3,empty,2,4,511,410,1,24,117,2.023e-06
3,3,empty,2,5,511,414,1,46,139,2.734e-06
3,3,empty,2,6,511,442,1,22,147,8.81e-07
3,3,empty,2,7,511,446,1,10,150,3e-07
3,3,empty,3,0,511,155,1,2,151,9e-08
3,3,empty,3,1,511,159,1,2,152,8e-08
3,3,empty,3,2,511,187,1,2,153,5e-08
3,3,empty,3,3,511,191,1,2,154,1.1e-07
3,3,empty,3,4,511,411,1,2,155,1.3e-07
3,3,empty,3,5,511,415,1,2,156,1.11e-07
3,3,empty,3,6,511,443,1,2,157,8e-08
3,3,empty,3,7,511,447,1,2,158,1.2e-07
3,3,empty,4,0,511,210,1,14,166,3.275e-06
3,3,empty,4,1,511,214,1,12,172,5.2e-07
3,3,empty,4,2,511,242,1,22,183,9.31e-07
3,3,empty,4,3,511,246,1,9,186,3.5e-07
3,3,empty,4,4,511,466,1,60,214,2.283e-06
3,3,empty,4,5,511,470,1,45,234,1.743e-06
3,3,empty,4,6,511,498,1,42,252,2.584e-06
3,3,empty,4,7,511,502,1,23,258,3.155e-06
3,3,empty,5,0,511,211,1,2,259,2.6e-07
3,3,empty,5,1,511,215,1,2,260,8e-08
3,3,empty,5,2,511,243,1,2,261,5e-08
3,3,empty,5,3,511,247,1,2,262,6.1e-08
3,3,empty,5,4,511,467,1,2,263,1.1e-07
3,3,empty,5,5,511,471,1,2,264,1.6e-07
3,3,empty,5,6,511,499,1,2,265,9e-08
3,3,empty,5,7,511,503,1,2,266,1.51e-07
3,3,empty,6,0,511,218,1,11,270,3.51e-07
3,3,empty,6,1,511,222,1,12,274,4.31e-07
3,3,empty,6,2,511,250,1,19,281,7.01e-07
3,3,empty,6,3,511,254,1,9,283,2.51e-07
3,3,empty,6,4,511,474,1,41,301,1.412e-06
3,3,empty,6,5,511,478,1,96,345,3.926e-06
3,3,empty,6,6,511,506,1,15,349,5e-07
3,3,empty,6,7,511,510,1,45,369,2.704e-06
3,3,empty,7,0,511,219,1,2,370,1.4e-07
3,3,empty,7,1,511,223,1,2,371,1.4e-07
3,3,empty,7,2,511,251,1,2,372,1.2e-07
3,3,empty,7,3,511,255,1,2,373,6e-08
3,3,empty,7,4,511,475,1,2,374,1.2e-07
3,3,empty,7,5,511,479,1,67,405,2.694e-06
3,3,empty,7,6,511,507,1,2,406,1.11e-07
3,3,empty,7,7,511,511,0,129,470,6.6e-06
