h,w,mode,left,right,a,b,result,visits,memo,seconds
3,5,middle-w,0,0,32735,14798,1,188,102,1.4882e-05
3,5,middle-w,0,1,32735,14814,1,204,214,1.1918e-05
3,5,middle-w,0,2,32735,15310,1,344,378,1.7707e-05
3,5,middle-w,0,3,32735,15326,1,98,414,3.986e-06
3,5,middle-w,0,4,32735,31182,1,280,554,1.8858e-05
3,5,middle-w,0,5,32735,31198,1,408,758,1.6754e-05
3,5,middle-w,0,6,32735,31694,1,172,815,7.121e-06
3,5,middle-w,0,7,32735,31710,1,151,872,6.95e-06
3,5,middle-w,1,0,32735,14799,1,2,873,1.7e-07
3,5,middle-w,1,1,32735,14815,1,2,874,1.21e-07
3,5,middle-w,1,2,32735,15311,1,2,875,1.1e-07
3,5,middle-w,1,3,32735,15327,1,2,876,9.1e-08
3,5,middle-w,1,4,32735,31183,1,2,877,8e-08
3,5,middle-w,1,5,32735,31199,1,2,878,8e-08
3,5,middle-w,1,6,32735,31695,1,2,879,1.2e-07
3,5,middle-w,1,7,32735,31711,1,2,880,8e-08
3,5,middle-w,2,0,32735,14830,1,281,1008,1.328e-05
3,5,middle-w,2,1,32735,14846,1,312,1161,2.3655e-05
3,5,middle-w,2,2,32735,15342,1,631,1423,1.9539e-05
3,5,middle-w,2,3,32735,15358,1,116,1463,6.109e-06
3,5,middle-w,2,4,32735,31214,1,438,1644,1.5984e-05
3,5,middle-w,2,5,32735,31230,1,5174,3878,0.000260273
3,5,middle-w,2,6,32735,31726,1,296,3967,1.2228e-05
3,5,middle-w,2,7,32735,31742,1,144,4020,5.668e-06
3,5,middle-w,3,0,32735,14831,1,2,4021,1.2e-07
3,5,middle-w,3,1,32735,14847,1,2,4022,1.8e-07
3,5,middle-w,3,2,32735,15343,1,2,4023,1.7e-07
3,5,middle-w,3,3,32735,15359,1,2,4024,1e-07
3,5,middle-w,3,4,32735,31215,1,2,4025,1.3e-07
3,5,middle-w,3,5,32735,31231,1,2,4026,1.4e-07
3,5,middle-w,3,6,32735,31727,1,2,4027,1.4e-07
3,5,middle-w,3,7,32735,31743,1,2,4028,1.1e-07
3,5,middle-w,4,0,32735,15822,1,277,4165,1.327e-05
3,5,middle-w,4,1,32735,15838,1,377,4349,1.7165e-05
3,5,middle-w,4,2,32735,16334,1,414,4515,1.6284e-05
3,5,middle-w,4,3,32735,16350,1,197,4595,8.903e-06
3,5,middle-w,4,4,32735,32206,1,977,5019,4.4195e-05
3,5,middle-w,4,5,32735,32222,1,2779,6300,0.000159875
3,5,middle-w,4,6,32735,32718,1,365,6433,1.5623e-05
3,5,middle-w,4,7,32735,32734,1,709,6736,3.1547e-05
3,5,middle-w,5,0,32735,15823,1,2,6737,1.2e-07
3,5,middle-w,5,1,32735,15839,1,2,6738,1.7e-07
3,5,middle-w,5,2,32735,16335,1,2,6739,1.5e-07
3,5,middle-w,5,3,32735,16351,1,2,6740,1.3e-07
3,5,middle-w,5,4,32735,32207,1,2,6741,1.2e-07
3,5,middle-w,5,5,32735,32223,0,1708,7477,7.479e-05
3,5,middle-w,5,6,32735,32719,1,2,7478,1.21e-07
3,5,middle-w,5,7,32735,32735,0,1423,8082,6.5336e-05
3,5,middle-w,6,0,32735,15854,1,172,8140,8.572e-06
3,5,middle-w,6,1,32735,15870,1,213,8219,9.724e-06
3,5,middle-w,6,2,32735,16366,1,275,8301,1.0906e-05
3,5,middle-w,6,3,32735,16382,1,103,8330,3.345e-06
3,5,middle-w,6,4,32735,32238,1,410,8480,1.9218e-05
3,5,middle-w,6,5,32735,32254,1,2707,9559,0.000124243
3,5,middle-w,6,6,32735,32750,1,143,9597,7.03e-06
3,5,middle-w,6,7,32735,32766,1,282,9714,1.3931e-05
3,5,middle-w,7,0,32735,15855,1,2,9715,1.2e-07
3,5,middle-w,7,1,32735,15871,1,2,9716,1.51e-07
3,5,middle-w,7,2,32735,16367,1,2,9717,1.7e-07
3,5,middle-w,7,3,32735,16383,1,2,9718,1e-07
3,5,middle-w,7,4,32735,32239,1,2,9719,9e-08
3,5,middle-w,7,5,32735,32255,0,28,9733,1.282e-06
3,5,middle-w,7,6,32735,32751,1,2,9734,1.8e-07
3,5,middle-w,7,7,32735,32767,0,27,9747,1.152e-06
