width,row,column,state,quarter_offset,result,visits,memo
6,1,3,V,-4,0,7054222,2142984
6,1,3,R,0,2,10000001,5197077
6,1,3,X,0,2,10000001,3051459
6,3,3,V,-4,0,4784709,4501739
6,3,3,R,0,2,10000001,7549698
6,3,3,X,0,2,10000001,2958891
