h,w,mode,left,right,a,b,result,visits,memo,seconds
3,1,middle-w,0,0,5,0,1,1,0,9e-08
3,1,middle-w,0,1,5,0,1,1,0,3e-08
3,1,middle-w,0,2,5,0,1,1,0,3e-08
3,1,middle-w,0,3,5,0,1,1,0,2e-08
3,1,middle-w,0,4,5,0,1,1,0,3e-08
3,1,middle-w,0,5,5,0,1,1,0,2e-08
3,1,middle-w,0,6,5,0,1,1,0,3e-08
3,1,middle-w,0,7,5,0,1,1,0,3e-08
3,1,middle-w,1,0,5,0,1,1,0,3e-08
3,1,middle-w,1,1,5,1,1,2,1,3.395e-06
3,1,middle-w,1,2,5,0,1,1,1,2e-08
3,1,middle-w,1,3,5,1,1,1,1,6e-08
3,1,middle-w,1,4,5,0,1,1,1,3e-08
3,1,middle-w,1,5,5,1,1,1,1,4e-08
3,1,middle-w,1,6,5,0,1,1,1,2e-08
3,1,middle-w,1,7,5,1,1,1,1,4e-08
3,1,middle-w,2,0,5,0,1,1,1,4.1e-08
3,1,middle-w,2,1,5,0,1,1,1,3e-08
3,1,middle-w,2,2,5,2,1,3,3,4.51e-07
3,1,middle-w,2,3,5,2,1,1,3,7.1e-08
3,1,middle-w,2,4,5,0,1,1,3,2e-08
3,1,middle-w,2,5,5,0,1,1,3,3e-08
3,1,middle-w,2,6,5,2,1,1,3,4e-08
3,1,middle-w,2,7,5,2,1,1,3,4e-08
3,1,middle-w,3,0,5,0,1,1,3,3e-08
3,1,middle-w,3,1,5,1,1,1,3,6e-08
3,1,middle-w,3,2,5,2,1,1,3,3e-08
3,1,middle-w,3,3,5,3,1,2,4,3.1e-07
3,1,middle-w,3,4,5,0,1,1,4,2e-08
3,1,middle-w,3,5,5,1,1,1,4,3e-08
3,1,middle-w,3,6,5,2,1,1,4,2e-08
3,1,middle-w,3,7,5,3,1,1,4,3e-08
3,1,middle-w,4,0,5,0,1,1,4,2e-08
3,1,middle-w,4,1,5,0,1,1,4,2e-08
3,1,middle-w,4,2,5,0,1,1,4,2.1e-08
3,1,middle-w,4,3,5,0,1,1,4,2e-08
3,1,middle-w,4,4,5,4,1,4,6,2.4e-07
3,1,middle-w,4,5,5,4,1,1,6,4e-08
3,1,middle-w,4,6,5,4,1,1,6,3e-08
3,1,middle-w,4,7,5,4,1,1,6,2e-08
3,1,middle-w,5,0,5,0,1,1,6,2e-08
3,1,middle-w,5,1,5,1,1,1,6,7e-08
3,1,middle-w,5,2,5,0,1,1,6,2e-08
3,1,middle-w,5,3,5,1,1,1,6,5e-08
3,1,middle-w,5,4,5,4,1,1,6,3e-08
3,1,middle-w,5,5,5,5,0,1,7,1.3e-07
3,1,middle-w,5,6,5,4,1,1,7,3e-08
3,1,middle-w,5,7,5,5,0,1,7,2e-08
3,1,middle-w,6,0,5,0,1,1,7,2e-08
3,1,middle-w,6,1,5,0,1,1,7,3e-08
3,1,middle-w,6,2,5,2,1,1,7,3e-08
3,1,middle-w,6,3,5,2,1,1,7,2e-08
3,1,middle-w,6,4,5,4,1,1,7,3e-08
3,1,middle-w,6,5,5,4,1,1,7,3e-08
3,1,middle-w,6,6,5,6,1,6,10,3.91e-07
3,1,middle-w,6,7,5,6,1,1,10,3e-08
3,1,middle-w,7,0,5,0,1,1,10,3e-08
3,1,middle-w,7,1,5,1,1,1,10,7e-08
3,1,middle-w,7,2,5,2,1,1,10,3e-08
3,1,middle-w,7,3,5,3,1,1,10,5e-08
3,1,middle-w,7,4,5,4,1,1,10,3e-08
3,1,middle-w,7,5,5,5,0,1,10,2e-08
3,1,middle-w,7,6,5,6,1,1,10,2e-08
3,1,middle-w,7,7,5,7,0,4,12,3.01e-07
