h,w,mode,left,right,a,b,result,visits,memo,seconds
5,1,empty,0,0,31,0,1,1,0,7e-08
5,1,empty,0,1,31,0,1,1,0,3e-08
5,1,empty,0,2,31,0,1,1,0,3e-08
5,1,empty,0,3,31,0,1,1,0,3e-08
5,1,empty,0,4,31,0,1,1,0,3e-08
5,1,empty,0,5,31,0,1,1,0,3e-08
5,1,empty,0,6,31,0,1,1,0,3e-08
5,1,empty,0,7,31,0,1,1,0,3e-08
5,1,empty,0,8,31,0,1,1,0,2e-08
5,1,empty,0,9,31,0,1,1,0,3e-08
5,1,empty,0,10,31,0,1,1,0,3e-08
5,1,empty,0,11,31,0,1,1,0,3e-08
5,1,empty,0,12,31,0,1,1,0,2e-08
5,1,empty,0,13,31,0,1,1,0,2e-08
5,1,empty,0,14,31,0,1,1,0,3e-08
5,1,empty,0,15,31,0,1,1,0,2e-08
5,1,empty,0,16,31,0,1,1,0,3e-08
5,1,empty,0,17,31,0,1,1,0,2e-08
5,1,empty,0,18,31,0,1,1,0,2e-08
5,1,empty,0,19,31,0,1,1,0,3e-08
5,1,empty,0,20,31,0,1,1,0,2e-08
5,1,empty,0,21,31,0,1,1,0,2e-08
5,1,empty,0,22,31,0,1,1,0,2e-08
5,1,empty,0,23,31,0,1,1,0,2e-08
5,1,empty,0,24,31,0,1,1,0,2e-08
5,1,empty,0,25,31,0,1,1,0,3e-08
5,1,empty,0,26,31,0,1,1,0,2e-08
5,1,empty,0,27,31,0,1,1,0,3e-08
5,1,empty,0,28,31,0,1,1,0,2e-08
5,1,empty,0,29,31,0,1,1,0,3e-08
5,1,empty,0,30,31,0,1,1,0,3e-08
5,1,empty,0,31,31,0,1,1,0,2.1e-08
5,1,empty,1,0,31,0,1,1,0,3e-08
5,1,empty,1,1,31,1,1,2,1,3.305e-06
5,1,empty,1,2,31,0,1,1,1,2e-08
5,1,empty,1,3,31,1,1,1,1,5e-08
5,1,empty,1,4,31,0,1,1,1,2e-08
5,1,empty,1,5,31,1,1,1,1,3e-08
5,1,empty,1,6,31,0,1,1,1,3e-08
5,1,empty,1,7,31,1,1,1,1,3.1e-08
5,1,empty,1,8,31,0,1,1,1,2e-08
5,1,empty,1,9,31,1,1,1,1,3e-08
5,1,empty,1,10,31,0,1,1,1,2e-08
5,1,empty,1,11,31,1,1,1,1,3e-08
5,1,empty,1,12,31,0,1,1,1,2e-08
5,1,empty,1,13,31,1,1,1,1,3e-08
5,1,empty,1,14,31,0,1,1,1,2e-08
5,1,empty,1,15,31,1,1,1,1,3e-08
5,1,empty,1,16,31,0,1,1,1,2e-08
5,1,empty,1,17,31,1,1,1,1,4.1e-08
5,1,empty,1,18,31,0,1,1,1,2e-08
5,1,empty,1,19,31,1,1,1,1,4e-08
5,1,empty,1,20,31,0,1,1,1,2e-08
5,1,empty,1,21,31,1,1,1,1,3e-08
5,1,empty,1,22,31,0,1,1,1,2e-08
5,1,empty,1,23,31,1,1,1,1,4e-08
5,1,empty,1,24,31,0,1,1,1,3e-08
5,1,empty,1,25,31,1,1,1,1,4e-08
5,1,empty,1,26,31,0,1,1,1,2e-08
5,1,empty,1,27,31,1,1,1,1,3e-08
5,1,empty,1,28,31,0,1,1,1,3e-08
5,1,empty,1,29,31,1,1,1,1,3e-08
5,1,empty,1,30,31,0,1,1,1,2e-08
5,1,empty,1,31,31,1,1,1,1,3e-08
5,1,empty,2,0,31,0,1,1,1,2e-08
5,1,empty,2,1,31,0,1,1,1,3e-08
5,1,empty,2,2,31,2,1,3,3,4.01e-07
5,1,empty,2,3,31,2,1,1,3,6e-08
5,1,empty,2,4,31,0,1,1,3,2e-08
5,1,empty,2,5,31,0,1,1,3,2e-08
5,1,empty,2,6,31,2,1,1,3,4e-08
5,1,empty,2,7,31,2,1,1,3,3e-08
5,1,empty,2,8,31,0,1,1,3,3.1e-08
5,1,empty,2,9,31,0,1,1,3,2e-08
