h,w,a,b,result,visits,memo
2,4,255,0,1,1,0
2,4,255,1,1,2,1
2,4,255,2,1,3,3
2,4,255,3,1,2,4
2,4,255,4,1,3,6
2,4,255,5,1,2,7
2,4,255,6,1,4,9
2,4,255,7,1,2,10
2,4,255,8,1,3,12
2,4,255,9,1,2,13
2,4,255,10,1,8,19
2,4,255,11,1,2,20
2,4,255,12,1,4,22
2,4,255,13,1,2,23
2,4,255,14,1,5,25
2,4,255,15,1,2,26
2,4,255,16,1,3,28
2,4,255,17,1,2,29
2,4,255,18,1,7,34
2,4,255,19,1,2,35
2,4,255,20,1,7,40
2,4,255,21,1,2,41
2,4,255,22,1,6,44
2,4,255,23,1,2,45
2,4,255,24,1,5,48
2,4,255,25,1,2,49
2,4,255,26,1,20,63
2,4,255,27,1,2,64
2,4,255,28,1,6,67
2,4,255,29,1,2,68
2,4,255,30,1,7,71
2,4,255,31,1,2,72
2,4,255,32,1,3,74
2,4,255,33,1,2,75
2,4,255,34,1,4,77
2,4,255,35,1,2,78
2,4,255,36,1,7,83
2,4,255,37,1,2,84
2,4,255,38,1,5,86
2,4,255,39,1,2,87
2,4,255,40,1,7,92
2,4,255,41,1,2,93
2,4,255,42,1,8,97
2,4,255,43,1,2,98
2,4,255,44,1,6,101
2,4,255,45,1,2,102
2,4,255,46,1,6,104
2,4,255,47,1,2,105
2,4,255,48,1,4,107
2,4,255,49,1,2,108
2,4,255,50,1,5,110
2,4,255,51,1,2,111
2,4,255,52,1,8,115
2,4,255,53,1,2,116
2,4,255,54,1,6,118
2,4,255,55,1,2,119
2,4,255,56,1,8,123
2,4,255,57,1,2,124
2,4,255,58,1,10,128
2,4,255,59,1,2,129
2,4,255,60,1,6,131
2,4,255,61,1,2,132
2,4,255,62,1,7,134
2,4,255,63,1,2,135
2,4,255,64,1,3,137
2,4,255,65,1,2,138
2,4,255,66,1,7,143
2,4,255,67,1,2,144
2,4,255,68,1,4,146
2,4,255,69,1,2,147
2,4,255,70,1,5,149
2,4,255,71,1,2,150
2,4,255,72,1,6,154
2,4,255,73,1,2,155
2,4,255,74,1,14,164
2,4,255,75,1,2,165
2,4,255,76,1,5,167
2,4,255,77,1,2,168
2,4,255,78,1,6,170
2,4,255,79,1,2,171
2,4,255,80,1,5,174
2,4,255,81,1,2,175
2,4,255,82,1,10,181
2,4,255,83,1,2,182
2,4,255,84,1,6,185
2,4,255,85,1,2,186
2,4,255,86,1,7,189
2,4,255,87,1,2,190
2,4,255,88,1,7,194
2,4,255,89,1,2,195
2,4,255,90,0,112,255
2,4,255,91,0,69,290
2,4,255,92,1,7,293
2,4,255,93,1,2,294
2,4,255,94,0,44,314
2,4,255,95,0,53,337
2,4,255,96,1,4,339
2,4,255,97,1,2,340
2,4,255,98,1,5,342
2,4,255,99,1,2,343
2,4,255,100,1,5,345
2,4,255,101,1,2,346
2,4,255,102,1,6,348
2,4,255,103,1,2,349
2,4,255,104,1,8,353
2,4,255,105,1,2,354
2,4,255,106,1,10,358
2,4,255,107,1,2,359
2,4,255,108,1,6,361
2,4,255,109,1,2,362
2,4,255,110,1,7,364
2,4,255,111,1,2,365
2,4,255,112,1,5,367
2,4,255,113,1,2,368
2,4,255,114,1,6,370
2,4,255,115,1,2,371
2,4,255,116,1,6,373
2,4,255,117,1,2,374
2,4,255,118,1,7,376
2,4,255,119,1,2,377
2,4,255,120,1,10,381
2,4,255,121,1,2,382
2,4,255,122,0,29,395
2,4,255,123,0,64,429
2,4,255,124,1,7,431
2,4,255,125,1,2,432
2,4,255,126,0,31,445
2,4,255,127,0,54,471
2,4,255,128,1,3,473
2,4,255,129,1,2,474
2,4,255,130,1,7,479
2,4,255,131,1,2,480
2,4,255,132,1,6,484
2,4,255,133,1,2,485
2,4,255,134,1,6,488
2,4,255,135,1,2,489
2,4,255,136,1,4,491
2,4,255,137,1,2,492
2,4,255,138,1,8,496
2,4,255,139,1,2,497
2,4,255,140,1,5,499
2,4,255,141,1,2,500
2,4,255,142,1,6,502
2,4,255,143,1,2,503
2,4,255,144,1,5,506
2,4,255,145,1,2,507
2,4,255,146,1,55,536
2,4,255,147,1,9,541
2,4,255,148,1,15,548
2,4,255,149,1,2,549
2,4,255,150,1,87,591
2,4,255,151,1,49,612
2,4,255,152,1,5,614
2,4,255,153,1,2,615
2,4,255,154,1,53,640
2,4,255,155,1,10,645
2,4,255,156,1,7,648
2,4,255,157,1,2,649
2,4,255,158,1,67,675
2,4,255,159,1,31,686
2,4,255,160,1,7,690
2,4,255,161,1,2,691
2,4,255,162,1,11,696
2,4,255,163,1,2,697
2,4,255,164,1,18,706
2,4,255,165,0,67,736
2,4,255,166,1,6,738
2,4,255,167,0,25,748
2,4,255,168,1,5,750
2,4,255,169,1,2,751
2,4,255,170,1,6,753
2,4,255,171,1,2,754
2,4,255,172,1,17,761
2,4,255,173,0,46,781
2,4,255,174,1,7,783
2,4,255,175,0,14,789
2,4,255,176,1,7,792
2,4,255,177,1,2,793
2,4,255,178,1,18,801
2,4,255,179,1,8,804
2,4,255,180,1,30,819
2,4,255,181,0,27,829
2,4,255,182,1,31,840
2,4,255,183,0,24,848
2,4,255,184,1,6,850
2,4,255,185,1,2,851
2,4,255,186,1,13,855
2,4,255,187,1,26,867
2,4,255,188,1,18,875
2,4,255,189,0,14,881
2,4,255,190,1,20,887
2,4,255,191,0,12,891
2,4,255,192,1,4,893
2,4,255,193,1,2,894
2,4,255,194,1,8,898
2,4,255,195,1,2,899
2,4,255,196,1,5,901
2,4,255,197,1,2,902
2,4,255,198,1,6,904
2,4,255,199,1,2,905
2,4,255,200,1,5,907
2,4,255,201,1,2,908
2,4,255,202,1,7,911
2,4,255,203,1,2,912
