h,w,mode,left,right,a,b,result,visits,memo,seconds
3,5,empty,0,0,32767,14798,1,188,102,1.4401e-05
3,5,empty,0,1,32767,14814,1,204,214,1.1417e-05
3,5,empty,0,2,32767,15310,1,344,378,1.9989e-05
3,5,empty,0,3,32767,15326,1,98,414,3.796e-06
3,5,empty,0,4,32767,31182,1,280,554,1.8687e-05
3,5,empty,0,5,32767,31198,1,408,758,1.7016e-05
3,5,empty,0,6,32767,31694,1,172,815,7.681e-06
3,5,empty,0,7,32767,31710,1,151,872,7.071e-06
3,5,empty,1,0,32767,14799,1,2,873,2.1e-07
3,5,empty,1,1,32767,14815,1,2,874,1.8e-07
3,5,empty,1,2,32767,15311,1,2,875,1.2e-07
3,5,empty,1,3,32767,15327,1,2,876,1e-07
3,5,empty,1,4,32767,31183,1,2,877,1.2e-07
3,5,empty,1,5,32767,31199,1,2,878,1.6e-07
3,5,empty,1,6,32767,31695,1,2,879,1e-07
3,5,empty,1,7,32767,31711,1,2,880,1.5e-07
3,5,empty,2,0,32767,14830,1,281,1008,1.363e-05
3,5,empty,2,1,32767,14846,1,312,1161,2.3725e-05
3,5,empty,2,2,32767,15342,1,631,1423,1.9298e-05
3,5,empty,2,3,32767,15358,1,116,1463,4.717e-06
3,5,empty,2,4,32767,31214,1,438,1644,1.6284e-05
3,5,empty,2,5,32767,31230,1,5174,3878,0.00025857
3,5,empty,2,6,32767,31726,1,296,3967,1.2388e-05
3,5,empty,2,7,32767,31742,1,144,4020,5.878e-06
3,5,empty,3,0,32767,14831,1,2,4021,1.8e-07
3,5,empty,3,1,32767,14847,1,2,4022,1.91e-07
3,5,empty,3,2,32767,15343,1,2,4023,1.91e-07
3,5,empty,3,3,32767,15359,1,2,4024,1.61e-07
3,5,empty,3,4,32767,31215,1,2,4025,1.41e-07
3,5,empty,3,5,32767,31231,1,2,4026,1.6e-07
3,5,empty,3,6,32767,31727,1,2,4027,1.2e-07
3,5,empty,3,7,32767,31743,1,2,4028,1e-07
3,5,empty,4,0,32767,15822,1,277,4165,1.3099e-05
3,5,empty,4,1,32767,15838,1,377,4349,1.8077e-05
3,5,empty,4,2,32767,16334,1,414,4515,1.6514e-05
3,5,empty,4,3,32767,16350,1,197,4595,8.793e-06
3,5,empty,4,4,32767,32206,1,977,5019,4.6849e-05
3,5,empty,4,5,32767,32222,1,3382,6530,0.000205663
3,5,empty,4,6,32767,32718,1,378,6666,1.6034e-05
3,5,empty,4,7,32767,32734,1,846,7022,4.064e-05
3,5,empty,5,0,32767,15823,1,2,7023,1.51e-07
3,5,empty,5,1,32767,15839,1,2,7024,1.8e-07
3,5,empty,5,2,32767,16335,1,2,7025,1.61e-07
3,5,empty,5,3,32767,16351,1,2,7026,1.51e-07
3,5,empty,5,4,32767,32207,1,2,7027,1.5e-07
3,5,empty,5,5,32767,32223,0,6417,9613,0.000287393
3,5,empty,5,6,32767,32719,1,2,9614,1.7e-07
3,5,empty,5,7,32767,32735,0,1835,10363,0.000242026
3,5,empty,6,0,32767,15854,1,101,10398,3.675e-06
3,5,empty,6,1,32767,15870,1,185,10467,6.259e-06
3,5,empty,6,2,32767,16366,1,213,10527,6.4e-06
3,5,empty,6,3,32767,16382,1,98,10554,2.674e-06
3,5,empty,6,4,32767,32238,1,274,10650,9.544e-06
3,5,empty,6,5,32767,32254,1,2743,11719,9.7043e-05
3,5,empty,6,6,32767,32750,1,109,11749,3.365e-06
3,5,empty,6,7,32767,32766,1,319,11877,1.2749e-05
3,5,empty,7,0,32767,15855,1,2,11878,1.11e-07
3,5,empty,7,1,32767,15871,1,2,11879,1.1e-07
3,5,empty,7,2,32767,16367,1,2,11880,1.3e-07
3,5,empty,7,3,32767,16383,1,2,11881,1.4e-07
3,5,empty,7,4,32767,32239,1,2,11882,1.4e-07
3,5,empty,7,5,32767,32255,0,1127,12345,0.000201897
3,5,empty,7,6,32767,32751,1,2,12346,1.5e-07
3,5,empty,7,7,32767,32767,0,28,12359,2.023e-06
