h,w,mode,left,right,a,b,result,visits,memo,seconds
3,4,empty,0,0,4095,1638,1,36,23,6.139e-06
3,4,empty,0,1,4095,1646,1,70,65,7.602e-06
3,4,empty,0,2,4095,1766,1,62,103,3.846e-06
3,4,empty,0,3,4095,1774,1,38,118,3.896e-06
3,4,empty,0,4,4095,3686,1,64,154,4.166e-06
3,4,empty,0,5,4095,3694,1,126,222,7.201e-06
3,4,empty,0,6,4095,3814,1,42,238,1.972e-06
3,4,empty,0,7,4095,3822,1,34,248,2.374e-06
3,4,empty,1,0,4095,1639,1,2,249,2.2e-07
3,4,empty,1,1,4095,1647,1,2,250,1.41e-07
3,4,empty,1,2,4095,1767,1,2,251,1.1e-07
3,4,empty,1,3,4095,1775,1,2,252,6e-08
3,4,empty,1,4,4095,3687,1,2,253,1.1e-07
3,4,empty,1,5,4095,3695,1,2,254,6.1e-08
3,4,empty,1,6,4095,3815,1,2,255,7e-08
3,4,empty,1,7,4095,3823,1,2,256,7e-08
3,4,empty,2,0,4095,1654,1,55,286,6.76e-06
3,4,empty,2,1,4095,1662,1,124,349,4.757e-06
3,4,empty,2,2,4095,1782,1,104,403,5.348e-06
3,4,empty,2,3,4095,1790,1,63,425,2.103e-06
3,4,empty,2,4,4095,3702,1,85,464,4.327e-06
3,4,empty,2,5,4095,3710,0,1559,1228,8.6367e-05
3,4,empty,2,6,4095,3830,1,67,1251,2.304e-06
3,4,empty,2,7,4095,3838,0,771,1592,3.2427e-05
3,4,empty,3,0,4095,1655,1,2,1593,1.5e-07
3,4,empty,3,1,4095,1663,1,2,1594,1e-07
3,4,empty,3,2,4095,1783,1,2,1595,7e-08
3,4,empty,3,3,4095,1791,1,2,1596,7e-08
3,4,empty,3,4,4095,3703,1,2,1597,9e-08
3,4,empty,3,5,4095,3711,0,1060,2049,4.726e-05
3,4,empty,3,6,4095,3831,1,2,2050,2.1e-07
3,4,empty,3,7,4095,3839,0,547,2297,2.6579e-05
3,4,empty,4,0,4095,1894,1,55,2328,2.343e-06
3,4,empty,4,1,4095,1902,1,184,2414,2.9203e-05
3,4,empty,4,2,4095,2022,1,339,2577,1.2138e-05
3,4,empty,4,3,4095,2030,1,211,2674,7.761e-06
3,4,empty,4,4,4095,3942,1,61,2701,2.283e-06
3,4,empty,4,5,4095,3950,1,494,2926,2.0961e-05
3,4,empty,4,6,4095,4070,1,141,2982,6.54e-06
3,4,empty,4,7,4095,4078,1,98,3017,3.685e-06
3,4,empty,5,0,4095,1895,1,2,3018,1e-07
3,4,empty,5,1,4095,1903,1,2,3019,1.3e-07
3,4,empty,5,2,4095,2023,0,706,3326,2.9994e-05
3,4,empty,5,3,4095,2031,0,318,3464,1.393e-05
3,4,empty,5,4,4095,3943,1,2,3465,1.11e-07
3,4,empty,5,5,4095,3951,0,1199,3966,5.5352e-05
3,4,empty,5,6,4095,4071,0,197,4040,7.331e-06
3,4,empty,5,7,4095,4079,0,80,4066,3.846e-06
3,4,empty,6,0,4095,1910,1,27,4076,1.201e-06
3,4,empty,6,1,4095,1918,1,89,4108,3.596e-06
3,4,empty,6,2,4095,2038,1,131,4159,6.75e-06
3,4,empty,6,3,4095,2046,1,45,4174,1.933e-06
3,4,empty,6,4,4095,3958,1,22,4182,8.81e-07
3,4,empty,6,5,4095,3966,0,494,4382,2.1211e-05
3,4,empty,6,6,4095,4086,1,86,4414,4.547e-06
3,4,empty,6,7,4095,4094,0,370,4569,1.7676e-05
3,4,empty,7,0,4095,1911,1,2,4570,1.1e-07
3,4,empty,7,1,4095,1919,1,2,4571,1.2e-07
3,4,empty,7,2,4095,2039,0,162,4649,8.503e-06
3,4,empty,7,3,4095,2047,0,22,4659,1.082e-06
3,4,empty,7,4,4095,3959,1,2,4660,2.51e-07
3,4,empty,7,5,4095,3967,0,104,4698,4.477e-06
3,4,empty,7,6,4095,4087,0,22,4708,9.51e-07
3,4,empty,7,7,4095,4095,0,1,4709,1.1e-07
