h,w,mode,left,right,a,b,result,visits,memo,seconds
5,4,empty,0,0,1048575,419430,1,302,168,2.1101e-05
5,4,empty,0,1,1048575,419438,1,532,427,2.4566e-05
5,4,empty,0,2,1048575,419558,1,390,620,2.3615e-05
5,4,empty,0,3,1048575,419566,1,179,681,6.169e-06
5,4,empty,0,4,1048575,421478,1,426,877,1.7787e-05
5,4,empty,0,5,1048575,421486,1,959,1285,4.5036e-05
5,4,empty,0,6,1048575,421606,1,235,1367,8.472e-06
5,4,empty,0,7,1048575,421614,1,164,1413,4.827e-06
5,4,empty,0,8,1048575,452198,1,511,1665,2.0801e-05
5,4,empty,0,9,1048575,452206,1,869,2046,4.6899e-05
5,4,empty,0,10,1048575,452326,1,600,2311,2.4265e-05
5,4,empty,0,11,1048575,452334,1,236,2386,2.8522e-05
5,4,empty,0,12,1048575,454246,1,295,2485,9.063e-06
5,4,empty,0,13,1048575,454254,1,483,2632,1.347e-05
5,4,empty,0,14,1048575,454374,1,210,2691,6.119e-06
5,4,empty,0,15,1048575,454382,1,144,2725,4.376e-06
5,4,empty,0,16,1048575,943718,1,509,2975,2.2323e-05
5,4,empty,0,17,1048575,943726,1,868,3348,3.3019e-05
5,4,empty,0,18,1048575,943846,1,553,3591,2.2243e-05
5,4,empty,0,19,1048575,943854,1,225,3662,7.612e-06
5,4,empty,0,20,1048575,945766,1,665,3933,2.3665e-05
5,4,empty,0,21,1048575,945774,1,1590,4535,5.5822e-05
5,4,empty,0,22,1048575,945894,1,322,4640,1.1376e-05
5,4,empty,0,23,1048575,945902,1,206,4695,6.92e-06
5,4,empty,0,24,1048575,976486,1,275,4787,1.1266e-05
5,4,empty,0,25,1048575,976494,1,422,4913,1.6505e-05
5,4,empty,0,26,1048575,976614,1,337,5018,1.339e-05
5,4,empty,0,27,1048575,976622,1,140,5052,4.266e-06
5,4,empty,0,28,1048575,978534,1,237,5114,5.1305e-05
5,4,empty,0,29,1048575,978542,1,379,5206,1.0125e-05
5,4,empty,0,30,1048575,978662,1,171,5245,4.076e-06
5,4,empty,0,31,1048575,978670,1,116,5268,2.854e-06
5,4,empty,1,0,1048575,419431,1,2,5269,1.6e-07
5,4,empty,1,1,1048575,419439,1,2,5270,1.3e-07
5,4,empty,1,2,1048575,419559,1,2,5271,1.71e-07
5,4,empty,1,3,1048575,419567,1,2,5272,9e-08
5,4,empty,1,4,1048575,421479,1,2,5273,1.51e-07
5,4,empty,1,5,1048575,421487,1,2,5274,1.4e-07
5,4,empty,1,6,1048575,421607,1,2,5275,1.3e-07
5,4,empty,1,7,1048575,421615,1,2,5276,1.3e-07
5,4,empty,1,8,1048575,452199,1,2,5277,1.6e-07
5,4,empty,1,9,1048575,452207,1,2,5278,1.21e-07
5,4,empty,1,10,1048575,452327,1,2,5279,1.8e-07
5,4,empty,1,11,1048575,452335,1,2,5280,8e-08
5,4,empty,1,12,1048575,454247,1,2,5281,9e-08
5,4,empty,1,13,1048575,454255,1,2,5282,1.51e-07
5,4,empty,1,14,1048575,454375,1,2,5283,1e-07
5,4,empty,1,15,1048575,454383,1,2,5284,1e-07
5,4,empty,1,16,1048575,943719,1,2,5285,1.2e-07
5,4,empty,1,17,1048575,943727,1,2,5286,7.1e-08
5,4,empty,1,18,1048575,943847,1,2,5287,1.1e-07
5,4,empty,1,19,1048575,943855,1,2,5288,7e-08
5,4,empty,1,20,1048575,945767,1,2,5289,1e-07
5,4,empty,1,21,1048575,945775,1,2,5290,9e-08
5,4,empty,1,22,1048575,945895,1,2,5291,1e-07
5,4,empty,1,23,1048575,945903,1,2,5292,7e-08
5,4,empty,1,24,1048575,976487,1,2,5293,9e-08
5,4,empty,1,25,1048575,976495,1,2,5294,9e-08
5,4,empty,1,26,1048575,976615,1,2,5295,2.1e-07
5,4,empty,1,27,1048575,976623,1,2,5296,1.1e-07
5,4,empty,1,28,1048575,978535,1,2,5297,8e-08
5,4,empty,1,29,1048575,978543,1,2,5298,9e-08
5,4,empty,1,30,1048575,978663,1,2,5299,9e-08
5,4,empty,1,31,1048575,978671,1,2,5300,1e-07
5,4,empty,2,0,1048575,419446,1,346,5457,1.1147e-05
5,4,empty,2,1,1048575,419454,1,786,5774,2.3134e-05
5,4,empty,2,2,1048575,419574,1,549,6005,1.7846e-05
5,4,empty,2,3,1048575,419582,1,268,6089,8.422e-06
5,4,empty,2,4,1048575,421494,1,480,6271,1.6805e-05
5,4,empty,2,5,1048575,421502,1,1956,7025,6.3083e-05
5,4,empty,2,6,1048575,421622,1,350,7137,1.1196e-05
5,4,empty,2,7,1048575,421630,1,244,7201,7.251e-06
5,4,empty,2,8,1048575,452214,1,533,7414,1.8908e-05
5,4,empty,2,9,1048575,452222,1,1599,8025,5.3278e-05
5,4,empty,2,10,1048575,452342,1,767,8315,2.8773e-05
5,4,empty,2,11,1048575,452350,1,340,8416,9.795e-06
5,4,empty,2,12,1048575,454262,1,333,8514,1.0615e-05
5,4,empty,2,13,1048575,454270,1,908,8769,4.9643e-05
5,4,empty,2,14,1048575,454390,1,306,8849,1.0155e-05
5,4,empty,2,15,1048575,454398,1,215,8897,5.368e-06
5,4,empty,2,16,1048575,943734,1,544,9115,2.4106e-05
5,4,empty,2,17,1048575,943742,1,1200,9544,4.809e-05
5,4,empty,2,18,1048575,943862,1,750,9831,2.9804e-05
5,4,empty,2,19,1048575,943870,1,326,9927,1.1717e-05
5,4,empty,2,20,1048575,945782,1,719,10171,2.6118e-05
5,4,empty,2,21,1048575,945790,1,3269,11319,0.000196139
5,4,empty,2,22,1048575,945910,1,484,11466,1.4351e-05
5,4,empty,2,23,1048575,945918,1,297,11541,7.751e-06
5,4,empty,2,24,1048575,976502,1,262,11615,8.433e-06
5,4,empty,2,25,1048575,976510,1,741,11815,2.1381e-05
5,4,empty,2,26,1048575,976630,1,453,11941,1.344e-05
5,4,empty,2,27,1048575,976638,1,210,11989,5.619e-06
5,4,empty,2,28,1048575,978550,1,265,12052,7.862e-06
5,4,empty,2,29,1048575,978558,1,702,12212,1.9418e-05
5,4,empty,2,30,1048575,978678,1,247,12265,7.151e-06
