h,w,mode,left,right,a,b,result,visits,memo,seconds
5,2,empty,0,0,1023,0,1,1,0,7e-08
5,2,empty,0,1,1023,2,1,3,2,2.484e-06
5,2,empty,0,2,1023,8,1,3,4,2.8e-07
5,2,empty,0,3,1023,10,1,4,6,1.8e-07
5,2,empty,0,4,1023,32,1,3,8,2.1e-07
5,2,empty,0,5,1023,34,1,8,14,2.894e-06
5,2,empty,0,6,1023,40,1,4,16,1.41e-07
5,2,empty,0,7,1023,42,1,5,18,2e-07
5,2,empty,0,8,1023,128,1,3,20,1.2e-07
5,2,empty,0,9,1023,130,1,8,26,4.91e-07
5,2,empty,0,10,1023,136,1,7,31,8.71e-07
5,2,empty,0,11,1023,138,1,6,34,3.91e-07
5,2,empty,0,12,1023,160,1,4,36,1.3e-07
5,2,empty,0,13,1023,162,1,8,40,3.41e-07
5,2,empty,0,14,1023,168,1,5,42,1.7e-07
5,2,empty,0,15,1023,170,1,6,44,1.4e-07
5,2,empty,0,16,1023,512,1,3,46,1.9e-07
5,2,empty,0,17,1023,514,1,8,52,1.802e-06
5,2,empty,0,18,1023,520,1,7,57,2.7e-07
5,2,empty,0,19,1023,522,1,6,60,7.91e-07
5,2,empty,0,20,1023,544,1,7,65,3.7e-07
5,2,empty,0,21,1023,546,1,19,78,1.082e-06
5,2,empty,0,22,1023,552,1,6,81,3.1e-07
5,2,empty,0,23,1023,554,1,7,84,2.5e-07
5,2,empty,0,24,1023,640,1,4,86,1.8e-07
5,2,empty,0,25,1023,642,1,8,90,3.1e-07
5,2,empty,0,26,1023,648,1,8,94,3.3e-07
5,2,empty,0,27,1023,650,1,6,96,2.4e-07
5,2,empty,0,28,1023,672,1,5,98,2.1e-07
5,2,empty,0,29,1023,674,1,10,102,4.6e-07
5,2,empty,0,30,1023,680,1,6,104,2e-07
5,2,empty,0,31,1023,682,1,7,106,2.9e-07
5,2,empty,1,0,1023,1,1,2,107,1.1e-07
5,2,empty,1,1,1023,3,1,2,108,1.3e-07
5,2,empty,1,2,1023,9,1,2,109,1.4e-07
5,2,empty,1,3,1023,11,1,2,110,1.11e-07
5,2,empty,1,4,1023,33,1,2,111,9e-08
5,2,empty,1,5,1023,35,1,2,112,1.2e-07
5,2,empty,1,6,1023,41,1,2,113,1.2e-07
5,2,empty,1,7,1023,43,1,2,114,1.21e-07
5,2,empty,1,8,1023,129,1,2,115,1e-07
5,2,empty,1,9,1023,131,1,2,116,1.462e-06
5,2,empty,1,10,1023,137,1,2,117,1.4e-07
5,2,empty,1,11,1023,139,1,2,118,9e-08
5,2,empty,1,12,1023,161,1,2,119,1.2e-07
5,2,empty,1,13,1023,163,1,2,120,9.1e-08
5,2,empty,1,14,1023,169,1,2,121,1e-07
5,2,empty,1,15,1023,171,1,2,122,9e-08
5,2,empty,1,16,1023,513,1,2,123,8e-08
5,2,empty,1,17,1023,515,1,2,124,1e-07
5,2,empty,1,18,1023,521,1,2,125,8e-08
5,2,empty,1,19,1023,523,1,2,126,8.1e-08
5,2,empty,1,20,1023,545,1,2,127,9e-08
5,2,empty,1,21,1023,547,1,2,128,8.61e-07
5,2,empty,1,22,1023,553,1,2,129,9e-08
5,2,empty,1,23,1023,555,1,2,130,1.01e-07
5,2,empty,1,24,1023,641,1,2,131,1e-07
5,2,empty,1,25,1023,643,1,2,132,1.3e-07
5,2,empty,1,26,1023,649,1,2,133,1.2e-07
5,2,empty,1,27,1023,651,1,2,134,1.31e-07
5,2,empty,1,28,1023,673,1,2,135,7e-08
5,2,empty,1,29,1023,675,1,2,136,9e-08
5,2,empty,1,30,1023,681,1,2,137,6e-08
5,2,empty,1,31,1023,683,1,2,138,9.1e-08
5,2,empty,2,0,1023,4,1,3,140,2e-07
5,2,empty,2,1,1023,6,1,7,145,4.41e-07
5,2,empty,2,2,1023,12,1,4,147,1.8e-07
5,2,empty,2,3,1023,14,1,5,149,1.6e-07
5,2,empty,2,4,1023,36,1,5,152,2.4e-07
5,2,empty,2,5,1023,38,1,20,166,2.023e-06
5,2,empty,2,6,1023,44,1,5,168,2.1e-07
5,2,empty,2,7,1023,46,1,6,170,1.9e-07
5,2,empty,2,8,1023,132,1,6,174,2.7e-07
5,2,empty,2,9,1023,134,1,19,187,1.011e-06
5,2,empty,2,10,1023,140,1,6,190,2.6e-07
5,2,empty,2,11,1023,142,1,7,193,3.4e-07
5,2,empty,2,12,1023,164,1,5,195,2.2e-07
5,2,empty,2,13,1023,166,1,17,203,7.51e-07
5,2,empty,2,14,1023,172,1,6,205,2.6e-07
5,2,empty,2,15,1023,174,1,7,207,1.9e-07
5,2,empty,2,16,1023,516,1,6,211,2.81e-07
5,2,empty,2,17,1023,518,1,14,220,6.81e-07
5,2,empty,2,18,1023,524,1,6,223,2.21e-07
5,2,empty,2,19,1023,526,1,7,226,3.21e-07
5,2,empty,2,20,1023,548,1,9,231,4.01e-07
5,2,empty,2,21,1023,550,1,45,261,6.048e-06
5,2,empty,2,22,1023,556,1,7,264,3.8e-07
5,2,empty,2,23,1023,558,1,8,267,2.8e-07
5,2,empty,2,24,1023,644,1,5,269,1.9e-07
5,2,empty,2,25,1023,646,1,15,276,5.41e-07
5,2,empty,2,26,1023,652,1,6,278,2.21e-07
5,2,empty,2,27,1023,654,1,7,280,1.91e-07
5,2,empty,2,28,1023,676,1,6,282,2.1e-07
5,2,empty,2,29,1023,678,1,21,290,7.61e-07
5,2,empty,2,30,1023,684,1,7,292,2.1e-07
5,2,empty,2,31,1023,686,1,8,294,2.5e-07
5,2,empty,3,0,1023,5,1,2,295,1.5e-07
5,2,empty,3,1,1023,7,1,2,296,1.1e-07
5,2,empty,3,2,1023,13,1,2,297,1.31e-07
5,2,empty,3,3,1023,15,1,2,298,9e-08
5,2,empty,3,4,1023,37,1,2,299,1.2e-07
5,2,empty,3,5,1023,39,1,2,300,1e-07
5,2,empty,3,6,1023,45,1,2,301,1.31e-07
5,2,empty,3,7,1023,47,1,2,302,1.3e-07
5,2,empty,3,8,1023,133,1,2,303,1.61e-07
5,2,empty,3,9,1023,135,1,2,304,1.1e-07
5,2,empty,3,10,1023,141,1,2,305,1.1e-07
5,2,empty,3,11,1023,143,1,2,306,9e-08
5,2,empty,3,12,1023,165,1,2,307,9e-08
5,2,empty,3,13,1023,167,1,2,308,1.41e-07
5,2,empty,3,14,1023,173,1,2,309,1.4e-07
5,2,empty,3,15,1023,175,1,2,310,1.7e-07
5,2,empty,3,16,1023,517,1,2,311,9e-08
5,2,empty,3,17,1023,519,1,2,312,1.1e-07
5,2,empty,3,18,1023,525,1,2,313,1.3e-07
5,2,empty,3,19,1023,527,1,2,314,1.3e-07
5,2,empty,3,20,1023,549,1,2,315,1.1e-07
5,2,empty,3,21,1023,551,1,2,316,6e-08
5,2,empty,3,22,1023,557,1,2,317,1.1e-07
5,2,empty,3,23,1023,559,1,2,318,8e-08
5,2,empty,3,24,1023,645,1,2,319,8e-08
5,2,empty,3,25,1023,647,1,2,320,1.1e-07
5,2,empty,3,26,1023,653,1,2,321,1.1e-07
5,2,empty,3,27,1023,655,1,2,322,7e-08
5,2,empty,3,28,1023,677,1,2,323,1.21e-07
5,2,empty,3,29,1023,679,1,2,324,1.2e-07
5,2,empty,3,30,1023,685,1,2,325,1.5e-07
5,2,empty,3,31,1023,687,1,2,326,7e-08
5,2,empty,4,0,1023,16,1,3,328,2.2e-07
5,2,empty,4,1,1023,18,1,8,334,5.51e-07
5,2,empty,4,2,1023,24,1,6,338,3e-07
5,2,empty,4,3,1023,26,1,6,341,2.5e-07
5,2,empty,4,4,1023,48,1,4,343,1.6e-07
5,2,empty,4,5,1023,50,1,8,347,3.1e-07
5,2,empty,4,6,1023,56,1,5,349,1.9e-07
5,2,empty,4,7,1023,58,1,6,351,2e-07
5,2,empty,4,8,1023,144,1,8,357,3.7e-07
5,2,empty,4,9,1023,146,1,19,370,2.323e-06
5,2,empty,4,10,1023,152,1,8,375,4.11e-07
5,2,empty,4,11,1023,154,1,8,379,4.21e-07
5,2,empty,4,12,1023,176,1,5,381,1.9e-07
5,2,empty,4,13,1023,178,1,10,385,4e-07
5,2,empty,4,14,1023,184,1,6,387,2.1e-07
5,2,empty,4,15,1023,186,1,7,389,2.4e-07
5,2,empty,4,16,1023,528,1,8,395,4.11e-07
5,2,empty,4,17,1023,530,1,20,407,9.92e-07
5,2,empty,4,18,1023,536,1,8,412,4e-07
5,2,empty,4,19,1023,538,1,8,416,2.9e-07
5,2,empty,4,20,1023,560,1,8,420,3.8e-07
5,2,empty,4,21,1023,562,1,15,427,6.21e-07
5,2,empty,4,22,1023,568,1,7,430,2.51e-07
5,2,empty,4,23,1023,570,1,8,433,2.61e-07
5,2,empty,4,24,1023,656,1,8,437,3.21e-07
5,2,empty,4,25,1023,658,1,18,445,7.01e-07
5,2,empty,4,26,1023,664,1,8,449,4.21e-07
5,2,empty,4,27,1023,666,1,8,452,1.732e-06
5,2,empty,4,28,1023,688,1,6,454,2.4e-07
5,2,empty,4,29,1023,690,1,12,458,3.3e-07
5,2,empty,4,30,1023,696,1,7,460,3.1e-07
5,2,empty,4,31,1023,698,1,8,462,2.3e-07
5,2,empty,5,0,1023,17,1,2,463,1.2e-07
5,2,empty,5,1,1023,19,1,2,464,1.2e-07
5,2,empty,5,2,1023,25,1,2,465,1.1e-07
5,2,empty,5,3,1023,27,1,2,466,1.61e-07
5,2,empty,5,4,1023,49,1,2,467,1.1e-07
5,2,empty,5,5,1023,51,1,2,468,9e-08
5,2,empty,5,6,1023,57,1,2,469,1.4e-07
5,2,empty,5,7,1023,59,1,2,470,1.3e-07
5,2,empty,5,8,1023,145,1,2,471,6e-08
5,2,empty,5,9,1023,147,1,2,472,6e-08
5,2,empty,5,10,1023,153,1,2,473,1.5e-07
5,2,empty,5,11,1023,155,1,2,474,1.01e-07
5,2,empty,5,12,1023,177,1,2,475,1.2e-07
5,2,empty,5,13,1023,179,1,2,476,1.5e-07
5,2,empty,5,14,1023,185,1,2,477,1.2e-07
5,2,empty,5,15,1023,187,1,2,478,1.41e-07
5,2,empty,5,16,1023,529,1,2,479,9e-08
5,2,empty,5,17,1023,531,1,2,480,1.1e-07
5,2,empty,5,18,1023,537,1,2,481,1.3e-07
5,2,empty,5,19,1023,539,1,2,482,8e-08
5,2,empty,5,20,1023,561,1,2,483,1e-07
5,2,empty,5,21,1023,563,1,2,484,8e-08
5,2,empty,5,22,1023,569,1,2,485,6e-08
5,2,empty,5,23,1023,571,1,2,486,1.11e-07
5,2,empty,5,24,1023,657,1,2,487,1.21e-07
5,2,empty,5,25,1023,659,1,2,488,9e-08
5,2,empty,5,26,1023,665,1,2,489,7e-08
5,2,empty,5,27,1023,667,1,2,490,9.1e-08
5,2,empty,5,28,1023,689,1,2,491,8e-08
5,2,empty,5,29,1023,691,1,2,492,7e-08
5,2,empty,5,30,1023,697,1,2,493,8.1e-08
5,2,empty,5,31,1023,699,1,2,494,7e-08
5,2,empty,6,0,1023,20,1,4,496,1.1e-07
5,2,empty,6,1,1023,22,1,8,500,4.4e-07
5,2,empty,6,2,1023,28,1,5,502,2.3e-07
5,2,empty,6,3,1023,30,1,6,504,2.9e-07
5,2,empty,6,4,1023,52,1,5,506,3.5e-07
5,2,empty,6,5,1023,54,1,10,510,6.31e-07
5,2,empty,6,6,1023,60,1,6,512,3.7e-07
5,2,empty,6,7,1023,62,1,7,514,4.51e-07
5,2,empty,6,8,1023,148,1,8,518,4.91e-07
5,2,empty,6,9,1023,150,1,15,525,6.01e-07
5,2,empty,6,10,1023,156,1,7,528,3.8e-07
5,2,empty,6,11,1023,158,1,8,531,3.3e-07
5,2,empty,6,12,1023,180,1,6,533,1.9e-07
5,2,empty,6,13,1023,182,1,12,537,5.4e-07
5,2,empty,6,14,1023,188,1,7,539,2.003e-06
5,2,empty,6,15,1023,190,1,8,541,2.61e-07
5,2,empty,6,16,1023,532,1,8,545,5.618e-06
5,2,empty,6,17,1023,534,1,15,552,7.51e-07
5,2,empty,6,18,1023,540,1,7,555,2.61e-07
5,2,empty,6,19,1023,542,1,8,558,2.51e-07
5,2,empty,6,20,1023,564,1,10,562,4.01e-07
5,2,empty,6,21,1023,566,1,18,569,6.91e-07
