h,w,mode,left,right,a,b,result,visits,memo,seconds
3,1,empty,0,0,7,0,1,1,0,1.2e-07
3,1,empty,0,1,7,0,1,1,0,2e-08
3,1,empty,0,2,7,0,1,1,0,2e-08
3,1,empty,0,3,7,0,1,1,0,2e-08
3,1,empty,0,4,7,0,1,1,0,2e-08
3,1,empty,0,5,7,0,1,1,0,2e-08
3,1,empty,0,6,7,0,1,1,0,2e-08
3,1,empty,0,7,7,0,1,1,0,2e-08
3,1,empty,1,0,7,0,1,1,0,3e-08
3,1,empty,1,1,7,1,1,2,1,2.814e-06
3,1,empty,1,2,7,0,1,1,1,3e-08
3,1,empty,1,3,7,1,1,1,1,6e-08
3,1,empty,1,4,7,0,1,1,1,2e-08
3,1,empty,1,5,7,1,1,1,1,4e-08
3,1,empty,1,6,7,0,1,1,1,2e-08
3,1,empty,1,7,7,1,1,1,1,4e-08
3,1,empty,2,0,7,0,1,1,1,2e-08
3,1,empty,2,1,7,0,1,1,1,2e-08
3,1,empty,2,2,7,2,1,3,3,2.81e-07
3,1,empty,2,3,7,2,1,1,3,5e-08
3,1,empty,2,4,7,0,1,1,3,2e-08
3,1,empty,2,5,7,0,1,1,3,2e-08
3,1,empty,2,6,7,2,1,1,3,3e-08
3,1,empty,2,7,7,2,1,1,3,4e-08
3,1,empty,3,0,7,0,1,1,3,2e-08
3,1,empty,3,1,7,1,1,1,3,3e-08
3,1,empty,3,2,7,2,1,1,3,2e-08
3,1,empty,3,3,7,3,1,2,4,2e-07
3,1,empty,3,4,7,0,1,1,4,2e-08
3,1,empty,3,5,7,1,1,1,4,5e-08
3,1,empty,3,6,7,2,1,1,4,5e-08
3,1,empty,3,7,7,3,1,1,4,3e-08
3,1,empty,4,0,7,0,1,1,4,2e-08
3,1,empty,4,1,7,0,1,1,4,2e-08
3,1,empty,4,2,7,0,1,1,4,2e-08
3,1,empty,4,3,7,0,1,1,4,2e-08
3,1,empty,4,4,7,4,1,5,6,2.3e-07
3,1,empty,4,5,7,4,1,1,6,4e-08
3,1,empty,4,6,7,4,1,1,6,2e-08
3,1,empty,4,7,7,4,1,1,6,3e-08
3,1,empty,5,0,7,0,1,1,6,3e-08
3,1,empty,5,1,7,1,1,1,6,6e-08
3,1,empty,5,2,7,0,1,1,6,2e-08
3,1,empty,5,3,7,1,1,1,6,5e-08
3,1,empty,5,4,7,4,1,1,6,3e-08
3,1,empty,5,5,7,5,0,5,8,2.81e-07
3,1,empty,5,6,7,4,1,1,8,3.1e-08
3,1,empty,5,7,7,5,0,1,8,3e-08
3,1,empty,6,0,7,0,1,1,8,2e-08
3,1,empty,6,1,7,0,1,1,8,2e-08
3,1,empty,6,2,7,2,1,1,8,4e-08
3,1,empty,6,3,7,2,1,1,8,4e-08
3,1,empty,6,4,7,4,1,1,8,3e-08
3,1,empty,6,5,7,4,1,1,8,3.1e-08
3,1,empty,6,6,7,6,1,7,11,3.11e-07
3,1,empty,6,7,7,6,1,1,11,3e-08
3,1,empty,7,0,7,0,1,1,11,3e-08
3,1,empty,7,1,7,1,1,1,11,4e-08
3,1,empty,7,2,7,2,1,1,11,3e-08
3,1,empty,7,3,7,3,1,1,11,3e-08
3,1,empty,7,4,7,4,1,1,11,3e-08
3,1,empty,7,5,7,5,0,1,11,4e-08
3,1,empty,7,6,7,6,1,1,11,3e-08
3,1,empty,7,7,7,7,0,5,13,3e-07
