h,w,mode,left,right,a,b,result,visits,memo,seconds
3,6,middle-w,0,0,262079,124830,1,777,392,5.0655e-05
3,6,middle-w,0,1,262079,124862,1,1125,900,4.8231e-05
3,6,middle-w,0,2,262079,126878,1,1254,1474,5.7505e-05
3,6,middle-w,0,3,262079,126910,1,510,1637,1.6725e-05
3,6,middle-w,0,4,262079,255902,1,1164,2144,4.4846e-05
3,6,middle-w,0,5,262079,255934,1,1879,2900,8.2642e-05
3,6,middle-w,0,6,262079,257950,1,647,3101,2.1812e-05
3,6,middle-w,0,7,262079,257982,1,412,3206,1.4151e-05
3,6,middle-w,1,0,262079,124831,1,2,3207,1.6e-07
3,6,middle-w,1,1,262079,124863,1,2,3208,2.11e-07
3,6,middle-w,1,2,262079,126879,1,2,3209,1.51e-07
3,6,middle-w,1,3,262079,126911,1,2,3210,1.1e-07
3,6,middle-w,1,4,262079,255903,1,2,3211,1.3e-07
3,6,middle-w,1,5,262079,255935,1,2,3212,7e-08
3,6,middle-w,1,6,262079,257951,1,2,3213,1.2e-07
3,6,middle-w,1,7,262079,257983,1,2,3214,1.1e-07
3,6,middle-w,2,0,262079,124894,1,941,3602,3.427e-05
3,6,middle-w,2,1,262079,124926,1,1984,4381,0.00469245
3,6,middle-w,2,2,262079,126942,1,2092,5211,0.00246899
3,6,middle-w,2,3,262079,126974,1,870,5464,2.2874e-05
3,6,middle-w,2,4,262079,255966,1,1450,5997,4.4706e-05
3,6,middle-w,2,5,262079,255998,0,104525,44640,0.01055
3,6,middle-w,2,6,262079,258014,1,1062,44941,3.9859e-05
3,6,middle-w,2,7,262079,258046,0,54585,64019,0.00252574
3,6,middle-w,3,0,262079,124895,1,2,64020,2.3e-07
3,6,middle-w,3,1,262079,124927,1,2,64021,2.5e-07
3,6,middle-w,3,2,262079,126943,1,2,64022,1.21e-07
3,6,middle-w,3,3,262079,126975,1,2,64023,1.2e-07
3,6,middle-w,3,4,262079,255967,1,2,64024,1e-07
3,6,middle-w,3,5,262079,255999,0,44792,79711,0.00228483
3,6,middle-w,3,6,262079,258015,1,2,79712,2.11e-07
3,6,middle-w,3,7,262079,258047,0,3670,81024,0.000293301
3,6,middle-w,4,0,262079,128926,1,944,81426,5.5001e-05
3,6,middle-w,4,1,262079,128958,1,2463,82398,0.000189809
3,6,middle-w,4,2,262079,130974,1,7513,85633,0.00195495
3,6,middle-w,4,3,262079,131006,1,11249,90094,0.000550039
3,6,middle-w,4,4,262079,259998,1,1646,90706,7.6893e-05
3,6,middle-w,4,5,262079,260030,1,52258,110630,0.00264106
3,6,middle-w,4,6,262079,262046,1,2903,111710,0.000160716
3,6,middle-w,4,7,262079,262078,1,36969,125293,0.00216632
3,6,middle-w,5,0,262079,128927,1,2,125294,2.8e-07
3,6,middle-w,5,1,262079,128959,1,2,125295,3.1e-07
3,6,middle-w,5,2,262079,130975,1,2,125296,1.7e-07
3,6,middle-w,5,3,262079,131007,1,2,125297,1e-07
3,6,middle-w,5,4,262079,259999,1,2,125298,1.362e-06
3,6,middle-w,5,5,262079,260031,0,4093,126730,0.000249036
3,6,middle-w,5,6,262079,262047,1,2,126731,2e-07
3,6,middle-w,5,7,262079,262079,0,1854,127339,9.543e-05
3,6,middle-w,6,0,262079,128990,1,641,127540,3.9408e-05
3,6,middle-w,6,1,262079,129022,1,1133,127893,6.5306e-05
3,6,middle-w,6,2,262079,131038,1,3049,128969,0.000193655
3,6,middle-w,6,3,262079,131070,1,6028,131227,0.000403543
3,6,middle-w,6,4,262079,260062,1,975,131514,6.0239e-05
3,6,middle-w,6,5,262079,260094,0,45721,146738,0.00304071
3,6,middle-w,6,6,262079,262110,1,1442,147186,0.000116071
3,6,middle-w,6,7,262079,262142,0,38020,160240,0.0029119
3,6,middle-w,7,0,262079,128991,1,2,160241,2.81e-07
3,6,middle-w,7,1,262079,129023,1,2,160242,2e-07
3,6,middle-w,7,2,262079,131039,1,2,160243,2.81e-07
3,6,middle-w,7,3,262079,131071,1,2,160244,1.41e-07
3,6,middle-w,7,4,262079,260063,1,2,160245,2.61e-07
3,6,middle-w,7,5,262079,260095,0,1,160246,1.41e-07
3,6,middle-w,7,6,262079,262111,1,2,160247,2.2e-07
3,6,middle-w,7,7,262079,262143,0,33,160263,5.0545e-05
