h,w,mode,left,right,a,b,result,visits,memo,seconds
3,3,middle-w,0,0,503,146,1,9,6,2.274e-06
3,3,middle-w,0,1,503,150,1,10,12,6.81e-07
3,3,middle-w,0,2,503,178,1,20,25,3.916e-06
3,3,middle-w,0,3,503,182,1,8,28,5.01e-07
3,3,middle-w,0,4,503,402,1,14,36,1.112e-06
3,3,middle-w,0,5,503,406,1,12,42,4.61e-07
3,3,middle-w,0,6,503,434,1,11,46,3.81e-07
3,3,middle-w,0,7,503,438,1,8,48,2.3e-07
3,3,middle-w,1,0,503,147,1,2,49,1.1e-07
3,3,middle-w,1,1,503,151,1,2,50,6e-08
3,3,middle-w,1,2,503,179,1,2,51,1.6e-07
3,3,middle-w,1,3,503,183,1,2,52,1.342e-06
3,3,middle-w,1,4,503,403,1,2,53,7e-08
3,3,middle-w,1,5,503,407,1,2,54,1.3e-07
3,3,middle-w,1,6,503,435,1,2,55,1.2e-07
3,3,middle-w,1,7,503,439,1,2,56,7e-08
3,3,middle-w,2,0,503,154,1,15,65,1.162e-06
3,3,middle-w,2,1,503,158,1,16,75,5.91e-07
3,3,middle-w,2,2,503,186,1,43,100,2.053e-06
3,3,middle-w,2,3,503,190,1,10,104,4.11e-07
3,3,middle-w,2,4,503,410,1,24,117,2.234e-06
3,3,middle-w,2,5,503,414,1,46,139,2.874e-06
3,3,middle-w,2,6,503,442,1,22,147,9.31e-07
3,3,middle-w,2,7,503,446,1,10,150,4e-07
3,3,middle-w,3,0,503,155,1,2,151,1.91e-07
3,3,middle-w,3,1,503,159,1,2,152,1.2e-07
3,3,middle-w,3,2,503,187,1,2,153,1.2e-07
3,3,middle-w,3,3,503,191,1,2,154,1.5e-07
3,3,middle-w,3,4,503,411,1,2,155,1.41e-07
3,3,middle-w,3,5,503,415,1,2,156,1.21e-07
3,3,middle-w,3,6,503,443,1,2,157,8e-08
3,3,middle-w,3,7,503,447,1,2,158,9e-08
3,3,middle-w,4,0,503,210,1,14,166,1.742e-06
3,3,middle-w,4,1,503,214,1,12,172,4.11e-07
3,3,middle-w,4,2,503,242,1,22,183,9.42e-07
3,3,middle-w,4,3,503,246,1,9,186,3.31e-07
3,3,middle-w,4,4,503,466,1,60,214,2.343e-06
3,3,middle-w,4,5,503,470,1,45,234,1.742e-06
3,3,middle-w,4,6,503,498,1,42,252,2.944e-06
3,3,middle-w,4,7,503,502,1,23,258,3.716e-06
3,3,middle-w,5,0,503,211,1,2,259,2.8e-07
3,3,middle-w,5,1,503,215,1,2,260,1.2e-07
3,3,middle-w,5,2,503,243,1,2,261,1.6e-07
3,3,middle-w,5,3,503,247,1,2,262,1e-07
3,3,middle-w,5,4,503,467,1,2,263,8.1e-08
3,3,middle-w,5,5,503,471,1,2,264,1.2e-07
3,3,middle-w,5,6,503,499,1,2,265,9e-08
3,3,middle-w,5,7,503,503,1,2,266,1.5e-07
3,3,middle-w,6,0,503,218,1,11,270,3.81e-07
3,3,middle-w,6,1,503,222,1,12,274,3.8e-07
3,3,middle-w,6,2,503,250,1,19,281,7.71e-07
3,3,middle-w,6,3,503,254,1,9,283,2.11e-07
3,3,middle-w,6,4,503,474,1,41,301,1.522e-06
3,3,middle-w,6,5,503,478,1,85,341,3.776e-06
3,3,middle-w,6,6,503,506,1,15,345,4.9e-07
3,3,middle-w,6,7,503,510,1,41,362,1.312e-06
3,3,middle-w,7,0,503,219,1,2,363,1.1e-07
3,3,middle-w,7,1,503,223,1,2,364,1.4e-07
3,3,middle-w,7,2,503,251,1,2,365,1.3e-07
3,3,middle-w,7,3,503,255,1,2,366,8e-08
3,3,middle-w,7,4,503,475,1,2,367,1.463e-06
3,3,middle-w,7,5,503,479,1,51,390,2.063e-06
3,3,middle-w,7,6,503,507,1,2,391,1.5e-07
3,3,middle-w,7,7,503,511,0,106,446,4.947e-06
