h,w,mode,left,right,a,b,result,visits,memo,seconds
3,2,empty,0,0,63,0,1,1,0,7e-08
3,2,empty,0,1,63,2,1,3,2,2.383e-06
3,2,empty,0,2,63,8,1,3,4,2e-07
3,2,empty,0,3,63,10,1,4,6,3.01e-07
3,2,empty,0,4,63,32,1,3,8,1.9e-07
3,2,empty,0,5,63,34,1,7,14,3.575e-06
3,2,empty,0,6,63,40,1,4,16,2.01e-07
3,2,empty,0,7,63,42,1,5,18,2.21e-07
3,2,empty,1,0,63,1,1,2,19,1.7e-07
3,2,empty,1,1,63,3,1,2,20,1e-07
3,2,empty,1,2,63,9,1,2,21,1.5e-07
3,2,empty,1,3,63,11,1,2,22,1.2e-07
3,2,empty,1,4,63,33,1,2,23,8e-08
3,2,empty,1,5,63,35,1,2,24,6e-08
3,2,empty,1,6,63,41,1,2,25,1.11e-07
3,2,empty,1,7,63,43,1,2,26,1.11e-07
3,2,empty,2,0,63,4,1,3,28,1.4e-07
3,2,empty,2,1,63,6,1,7,33,9.81e-07
3,2,empty,2,2,63,12,1,4,35,1.6e-07
3,2,empty,2,3,63,14,1,5,37,2.7e-07
3,2,empty,2,4,63,36,1,5,40,2.6e-07
3,2,empty,2,5,63,38,1,16,50,9.91e-07
3,2,empty,2,6,63,44,1,5,52,2e-07
3,2,empty,2,7,63,46,1,7,55,1.632e-06
3,2,empty,3,0,63,5,1,2,56,1.41e-07
3,2,empty,3,1,63,7,1,2,57,1.11e-07
3,2,empty,3,2,63,13,1,2,58,1.3e-07
3,2,empty,3,3,63,15,1,2,59,8e-08
3,2,empty,3,4,63,37,1,2,60,6.81e-07
3,2,empty,3,5,63,39,1,33,74,1.282e-06
3,2,empty,3,6,63,45,1,2,75,1.6e-07
3,2,empty,3,7,63,47,1,34,91,1.493e-06
3,2,empty,4,0,63,16,1,3,93,1.5e-07
3,2,empty,4,1,63,18,1,11,99,4.91e-07
3,2,empty,4,2,63,24,1,6,103,3.51e-07
3,2,empty,4,3,63,26,1,11,108,4.5e-07
3,2,empty,4,4,63,48,1,4,110,2.2e-07
3,2,empty,4,5,63,50,1,10,115,5.41e-07
3,2,empty,4,6,63,56,1,5,117,3.145e-06
3,2,empty,4,7,63,58,1,9,120,4e-07
3,2,empty,5,0,63,17,1,2,121,1.5e-07
3,2,empty,5,1,63,19,1,6,124,3.5e-07
3,2,empty,5,2,63,25,1,2,125,1.2e-07
3,2,empty,5,3,63,27,1,26,137,1.823e-06
3,2,empty,5,4,63,49,1,2,138,1.2e-07
3,2,empty,5,5,63,51,0,29,153,1.162e-06
3,2,empty,5,6,63,57,1,2,154,1.01e-07
3,2,empty,5,7,63,59,0,14,161,1.723e-06
3,2,empty,6,0,63,20,1,4,163,1.7e-07
3,2,empty,6,1,63,22,1,12,169,5e-07
3,2,empty,6,2,63,28,1,5,171,2.2e-07
3,2,empty,6,3,63,30,1,10,174,3.5e-07
3,2,empty,6,4,63,52,1,2,175,5e-08
3,2,empty,6,5,63,54,1,7,178,3.31e-07
3,2,empty,6,6,63,60,1,6,180,3.21e-07
3,2,empty,6,7,63,62,1,8,183,3.8e-07
3,2,empty,7,0,63,21,1,2,184,1e-07
3,2,empty,7,1,63,23,1,6,186,2.01e-07
3,2,empty,7,2,63,29,1,2,187,1e-07
3,2,empty,7,3,63,31,1,22,197,9.21e-07
3,2,empty,7,4,63,53,1,2,198,5e-08
3,2,empty,7,5,63,55,0,16,203,5.1e-07
3,2,empty,7,6,63,61,1,2,204,1.6e-07
3,2,empty,7,7,63,63,0,1,205,1e-07
